Shipment_Leg_ID,Leg_Type,Transport_Mode,Origin,Destination,Dispatch_Date,Arrival_Date,Transportation_Cost
SL000087,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-02,2022-01-05,18469.82
SL000088,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-02,2022-01-03,25589.09
SL000089,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-02,2022-01-03,18622.66
SL000090,Final-Mile,Courier,HUB-DEL,ST009,2022-01-02,2022-01-03,784.2
SL000091,Final-Mile,Courier,HUB-BLR,ST054,2022-01-02,2022-01-03,1879.52
SL000092,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-02,2022-01-04,38186.88
SL000093,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-02,2022-01-04,18489.6
SL000094,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-02,2022-01-03,18415.3
SL000095,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-02,2022-01-05,18532.03
SL000096,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-02,2022-01-05,38224.51
SL000097,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-02,2022-01-03,38198.4
SL000098,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-02,2022-01-05,18546.82
SL000099,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-02,2022-01-03,38246.4
SL000100,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-02,2022-01-03,25669.44
SL000101,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-02,2022-01-05,25612.42
SL000102,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-02,2022-01-05,25633.73
SL000103,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-02,2022-01-03,25615.87
SL000104,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-02,2022-01-03,38212.8
SL000105,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-02,2022-01-05,18415.87
SL000106,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-02,2022-01-04,18404.93
SL000107,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-02,2022-01-04,25705.15
SL000108,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-02,2022-01-05,38218.56
SL000109,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-02,2022-01-03,25592.64
SL000110,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-02,2022-01-03,18402.24
SL000111,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-02,2022-01-04,18479.81
SL000112,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-02,2022-01-03,25610.88
SL000113,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-02,2022-01-05,18497.09
SL000114,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-02,2022-01-03,25590.72
SL000115,Final-Mile,Courier,HUB-DEL,ST011,2022-01-02,2022-01-03,1037.64
SL000116,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-02,2022-01-04,25643.71
SL000117,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-02,2022-01-05,25582.27
SL000118,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-02,2022-01-04,25607.23
SL000119,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-02,2022-01-03,25636.8
SL000120,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-02,2022-01-03,25729.34
SL000121,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-02,2022-01-05,25650.24
SL000122,Final-Mile,Courier,HUB-BOM,ST028,2022-01-02,2022-01-03,987.6
SL000123,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-02,2022-01-05,25642.94
SL000124,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-02,2022-01-03,18467.33
SL000125,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-02,2022-01-04,18888.0
SL000126,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-02,2022-01-03,38213.76
SL000127,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-02,2022-01-04,18545.47
SL000128,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-02,2022-01-04,18483.65
SL000129,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-02,2022-01-05,18503.42
SL000130,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-02,2022-01-04,18439.49
SL000131,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-02,2022-01-05,38176.7
SL000132,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-02,2022-01-05,38242.94
SL000133,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-02,2022-01-04,38221.06
SL000134,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-02,2022-01-04,38226.05
SL000135,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-02,2022-01-03,38258.5
SL000136,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-02,2022-01-03,25603.01
SL000137,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-02,2022-01-05,25587.65
SL000138,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-02,2022-01-05,18571.97
SL000139,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-02,2022-01-04,25625.28
SL000140,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-02,2022-01-03,38276.35
SL000141,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-02,2022-01-05,38287.68
SL000142,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-02,2022-01-04,25598.88
SL000143,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-02,2022-01-04,38439.55
SL000144,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-02,2022-01-04,38313.22
SL000145,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-02,2022-01-05,25609.54
SL000146,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-02,2022-01-03,18444.1
SL000147,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-02,2022-01-05,18484.99
SL000148,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-02,2022-01-04,18475.2
SL000149,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-02,2022-01-05,18462.53
SL000150,Final-Mile,Courier,HUB-BOM,ST034,2022-01-02,2022-01-03,851.28
SL000151,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-02,2022-01-05,25585.34
SL000152,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-02,2022-01-03,18416.06
SL000153,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-02,2022-01-05,25679.04
SL000154,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-02,2022-01-05,18582.72
SL000155,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-02,2022-01-04,38240.35
SL000156,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-02,2022-01-05,25662.14
SL000157,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-02,2022-01-03,25651.39
SL000158,Final-Mile,Courier,HUB-BOM,ST044,2022-01-02,2022-01-03,2283.84
SL000159,Final-Mile,Courier,HUB-BOM,ST026,2022-01-02,2022-01-03,938.24
SL000160,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-03,2022-01-04,38208.38
SL000161,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-03,2022-01-06,18546.82
SL000162,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-03,2022-01-05,38187.65
SL000163,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-03,2022-01-05,18413.38
SL000164,Final-Mile,Courier,HUB-BLR,ST051,2022-01-03,2022-01-04,897.56
SL000165,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-03,2022-01-04,25624.51
SL000166,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-03,2022-01-04,18557.57
SL000167,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-03,2022-01-06,18418.56
SL000168,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-03,2022-01-04,25587.07
SL000169,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-03,2022-01-06,25587.65
SL000170,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-03,2022-01-06,25583.04
SL000171,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-03,2022-01-04,25608.38
SL000172,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-03,2022-01-05,25611.84
SL000173,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-03,2022-01-05,25651.01
SL000174,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-03,2022-01-06,25625.66
SL000175,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-06,38290.37
SL000176,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-04,25669.82
SL000177,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-06,38196.86
SL000178,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-05,38269.44
SL000179,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-04,38223.17
SL000180,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-06,38226.05
SL000181,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-05,25612.61
SL000182,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-06,38347.78
SL000183,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-05,38286.72
SL000184,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-04,38188.8
SL000185,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-05,25576.7
SL000186,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-05,25595.33
SL000187,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-06,38329.34
SL000188,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-06,38259.07
SL000189,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-06,38232.96
SL000190,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-03,2022-01-05,38182.66
SL000191,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-03,2022-01-05,18399.74
SL000192,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-03,2022-01-05,38187.65
SL000193,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-03,2022-01-06,18416.06
SL000194,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-03,2022-01-05,18413.57
SL000195,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-03,2022-01-04,25662.14
SL000196,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-03,2022-01-04,18516.67
SL000197,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-06,38655.36
SL000198,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-06,25697.28
SL000199,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-06,25722.43
SL000200,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-06,25611.07
SL000201,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-04,25649.09
SL000202,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-05,38323.2
SL000203,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-04,25657.92
SL000204,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-03,2022-01-05,25642.94
SL000205,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-03,2022-01-04,25598.78
SL000206,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-05,25633.73
SL000207,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-04,25593.02
SL000208,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-05,38304.0
SL000209,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-04,38328.19
SL000210,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-06,38188.8
SL000211,Final-Mile,Courier,HUB-BOM,ST026,2022-01-03,2022-01-04,1070.84
SL000212,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-03,2022-01-06,25573.44
SL000213,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-03,2022-01-05,25573.25
SL000214,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-04,25590.72
SL000215,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-06,25577.09
SL000216,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-03,2022-01-04,38180.35
SL000217,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-03,2022-01-06,18400.7
SL000218,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-03,2022-01-05,18443.52
SL000219,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-03,2022-01-05,38185.34
SL000220,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-03,2022-01-05,38198.4
SL000221,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-05,38393.86
SL000222,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-06,25641.22
SL000223,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-04,25637.18
SL000224,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-06,25718.98
SL000225,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-06,38424.58
SL000226,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-06,25753.54
SL000227,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-05,25701.31
SL000228,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-03,2022-01-06,38205.7
SL000229,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-03,2022-01-06,38267.52
SL000230,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-03,2022-01-05,18403.01
SL000231,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-06,25645.25
SL000232,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-04,38549.38
SL000233,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-03,2022-01-05,38204.16
SL000234,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-03,2022-01-05,18402.24
SL000235,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-03,2022-01-04,18541.44
SL000236,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-04,25599.74
SL000237,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-06,38231.42
SL000238,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-04,38283.84
SL000239,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-05,25576.32
SL000240,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-06,38287.87
SL000241,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-06,38271.74
SL000242,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-05,25664.45
SL000243,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-04,25633.73
SL000244,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-03,2022-01-05,38200.32
SL000245,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-03,2022-01-06,18771.65
SL000246,Inter-Hub,Truck,HUB-DEL,HUB-BOM,2022-01-03,2022-01-04,25568.83
SL000247,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-03,2022-01-05,18444.1
SL000248,Inter-Hub,Truck,HUB-BLR,HUB-BOM,2022-01-03,2022-01-05,18513.6
SL000249,Inter-Hub,Truck,HUB-BLR,HUB-DEL,2022-01-03,2022-01-05,38184.19
SL000250,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-04,25659.84
SL000251,Inter-Hub,Truck,HUB-BOM,HUB-DEL,2022-01-03,2022-01-06,25609.15
SL000252,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-03,2022-01-06,38170.85
SL000253,Inter-Hub,Truck,HUB-BOM,HUB-BLR,2022-01-03,2022-01-05,18426.82
SL000254,Inter-Hub,Truck,HUB-DEL,HUB-BLR,2022-01-03,2022-01-05,38189.09
SL000255,Final-Mile,Courier,HUB-BOM,ST034,2022-01-03,2022-01-04,733.68
SL000256,Final-Mile,Courier,HUB-BOM,ST029,2022-01-03,2022-01-04,1040.96
SL000257,Final-Mile,Courier,HUB-BOM,ST031,2022-01-03,2022-01-04,1026.0
SL000258,Final-Mile,Courier,HUB-BOM,ST041,2022-01-03,2022-01-04,2343.6
SL000259,Final-Mile,Courier,HUB-BOM,ST031,2022-01-03,2022-01-04,685.12
SL000260,Final-Mile,Courier,HUB-BOM,ST025,2022-01-03,2022-01-04,811.16
SL000261,Final-Mile,Courier,HUB-BOM,ST034,2022-01-03,2022-01-04,1162.76
SL000262,Final-Mile,Courier,HUB-BOM,ST029,2022-01-03,2022-01-04,1523.96
SL000263,Final-Mile,Courier,HUB-BOM,ST029,2022-01-03,2022-01-04,1063.6
SL000264,Final-Mile,Courier,HUB-BOM,ST025,2022-01-03,2022-01-04,975.36
SL000265,Final-Mile,Courier,HUB-BOM,ST038,2022-01-03,2022-01-04,1932.4
SL000266,Final-Mile,Courier,HUB-BOM,ST032,2022-01-03,2022-01-04,937.2
SL000267,Final-Mile,Courier,HUB-DEL,ST001,2022-01-03,2022-01-04,1082.76
SL000268,Final-Mile,Courier,HUB-DEL,ST007,2022-01-03,2022-01-04,1239.16
SL000269,Final-Mile,Courier,HUB-BLR,ST055,2022-01-03,2022-01-04,1490.2
SL000270,Final-Mile,Courier,HUB-BLR,ST047,2022-01-03,2022-01-04,1032.12
