Shipment_Leg_ID,Order_Line_ID,Quantity_Shipped
SL000463,OL00127,6
SL000464,OL00553,6
SL000465,OL00554,11
SL000466,OL00555,6
SL000467,OL00556,6
SL000468,OL00557,7
SL000469,OL00558,4
SL000470,OL00559,9
SL000471,OL00560,2
SL000472,OL00561,2
SL000473,OL00562,2
SL000474,OL00563,2
SL000475,OL00564,4
SL000476,OL00565,6
SL000477,OL00567,7
SL000478,OL00568,3
SL000479,OL00569,9
SL000480,OL00570,6
SL000481,OL00571,8
SL000482,OL00572,4
SL000483,OL00573,16
SL000484,OL00574,4
SL000484,OL00575,6
SL000485,OL00576,2
SL000486,OL00577,3
SL000487,OL00578,1
SL000488,OL00579,14
SL000489,OL00580,8
SL000490,OL00581,13
SL000491,OL00582,5
SL000492,OL00583,5
SL000493,OL00585,3
SL000494,OL00586,2
SL000495,OL00587,6
SL000496,OL00588,5
SL000497,OL00590,9
SL000498,OL00594,2
SL000499,OL00595,7
SL000500,OL00596,3
SL000501,OL00598,15
SL000502,OL00599,7
SL000503,OL00601,3
SL000504,OL00602,8
SL000505,OL00604,8
SL000506,OL00605,2
SL000507,OL00606,3
SL000508,OL00608,6
SL000509,OL00609,9
SL000510,OL00610,11
SL000511,OL00611,3
SL000512,OL00614,4
SL000513,OL00615,3
SL000514,OL00616,6
SL000515,OL00617,1
SL000516,OL00618,2
SL000517,OL00620,3
SL000517,OL00621,1
SL000517,OL00622,3
SL000518,OL00623,6
SL000519,OL00624,2
SL000520,OL00626,4
SL000521,OL00627,2
SL000522,OL00628,8
SL000523,OL00629,5
SL000524,OL00630,10
SL000525,OL00631,6
SL000526,OL00633,3
SL000527,OL00634,5
SL000528,OL00635,3
SL000529,OL00637,2
SL000530,OL00638,7
SL000531,OL00640,4
SL000532,OL00641,3
SL000533,OL00642,4
SL000534,OL00643,3
SL000535,OL00644,5
SL000536,OL00645,3
SL000537,OL00648,6
SL000538,OL00649,4
SL000539,OL00651,1
SL000540,OL00652,10
SL000541,OL00653,4
SL000542,OL00654,4
SL000543,OL00385,3
SL000543,OL00386,4
SL000543,OL00387,4
SL000543,OL00388,6
SL000544,OL00427,2
SL000544,OL00428,2
SL000544,OL00429,3
SL000544,OL00430,6
SL000545,OL00250,5
SL000545,OL00251,7
SL000545,OL00252,3
SL000545,OL00253,7
SL000546,OL00238,6
SL000546,OL00239,4
SL000546,OL00240,3
SL000546,OL00241,2
SL000547,OL00333,8
SL000547,OL00334,4
SL000547,OL00335,7
SL000547,OL00336,8
SL000548,OL00382,10
SL000548,OL00383,3
SL000548,OL00384,4
SL000549,OL00542,5
SL000549,OL00543,10
SL000549,OL00544,11
SL000549,OL00545,2
SL000550,OL00367,6
SL000550,OL00368,3
SL000550,OL00369,5
SL000551,OL00341,3
SL000551,OL00342,5
SL000551,OL00343,9
SL000551,OL00344,4
SL000552,OL00310,4
SL000553,OL00321,6
SL000553,OL00322,3
SL000553,OL00323,6
SL000553,OL00324,8
SL000553,OL00325,12
SL000554,OL00370,3
SL000554,OL00371,3
SL000554,OL00372,4
SL000554,OL00373,9
SL000554,OL00374,12
SL000555,OL00461,3
SL000555,OL00462,2
SL000556,OL00419,1
SL000556,OL00420,2
SL000556,OL00421,3
SL000557,OL00305,4
SL000557,OL00306,3
SL000557,OL00307,9
SL000557,OL00308,10
SL000557,OL00309,3
SL000558,OL00275,3
SL000558,OL00276,3
SL000558,OL00277,2
SL000558,OL00278,3
SL000559,OL00318,5
SL000559,OL00319,4
SL000559,OL00320,3
SL000560,OL00435,4
SL000560,OL00436,3
SL000560,OL00437,6
SL000561,OL00330,5
SL000561,OL00331,10
SL000561,OL00332,4
SL000562,OL00230,4
SL000562,OL00231,5
SL000562,OL00232,3
SL000563,OL00416,6
SL000563,OL00417,2
SL000563,OL00418,4
SL000564,OL00300,3
SL000564,OL00301,1
SL000565,OL00361,14
SL000565,OL00362,15
SL000566,OL00225,2
SL000566,OL00226,4
SL000566,OL00227,1
SL000566,OL00228,1
SL000566,OL00229,2
SL000567,OL00487,5
SL000568,OL00535,4
SL000568,OL00536,5
SL000568,OL00537,3
SL000569,OL00270,3
SL000569,OL00271,3
SL000569,OL00272,6
SL000569,OL00273,4
SL000569,OL00274,2
SL000570,OL00454,3
SL000570,OL00455,5
SL000570,OL00456,1
SL000571,OL00290,8
SL000571,OL00291,13
SL000571,OL00292,7
SL000571,OL00293,8
SL000571,OL00294,6
SL000572,OL00423,6
SL000572,OL00424,6
SL000573,OL00326,2
SL000573,OL00327,1
SL000573,OL00328,4
SL000573,OL00329,4
SL000574,OL00243,4
SL000574,OL00244,1
SL000574,OL00245,2
SL000574,OL00246,4
SL000574,OL00247,3
SL000575,OL00258,4
SL000575,OL00259,3
SL000575,OL00260,7
SL000575,OL00261,7
SL000576,OL00340,5
SL000577,OL00409,13
SL000577,OL00410,4
SL000577,OL00411,8
SL000577,OL00412,6
SL000578,OL00353,8
SL000578,OL00354,5
SL000578,OL00355,8
SL000578,OL00356,2
SL000579,OL00283,3
SL000579,OL00284,8
SL000579,OL00285,7
SL000579,OL00286,13
SL000579,OL00287,7
SL000580,OL00302,6
SL000580,OL00303,2
SL000580,OL00304,1
SL000581,OL00313,4
SL000581,OL00314,3
SL000582,OL00394,6
SL000583,OL00315,8
SL000583,OL00316,9
SL000583,OL00317,4
SL000584,OL00236,5
SL000584,OL00237,3
SL000585,OL00656,5
SL000586,OL00657,3
SL000587,OL00658,4
SL000588,OL00659,4
SL000589,OL00660,4
SL000590,OL00661,5
SL000591,OL00662,4
SL000592,OL00663,4
SL000593,OL00664,7
SL000594,OL00666,5
SL000595,OL00667,6
SL000596,OL00668,7
SL000597,OL00670,4
SL000598,OL00671,2
SL000599,OL00673,3
SL000600,OL00674,2
SL000601,OL00676,8
SL000602,OL00677,5
SL000603,OL00679,3
SL000604,OL00680,7
SL000605,OL00681,7
SL000606,OL00683,6
SL000606,OL00684,7
SL000606,OL00685,3
SL000607,OL00686,6
SL000608,OL00687,3
SL000609,OL00688,5
SL000610,OL00689,2
SL000611,OL00690,7
SL000612,OL00692,3
SL000612,OL00693,3
SL000613,OL00694,6
SL000614,OL00696,8
SL000615,OL00697,11
SL000616,OL00698,5
SL000617,OL00700,3
SL000618,OL00702,5
SL000619,OL00703,6
SL000620,OL00704,5
SL000621,OL00705,10
SL000622,OL00706,5
SL000623,OL00707,15
SL000624,OL00708,10
SL000625,OL00709,2
SL000626,OL00712,1
SL000627,OL00713,6
SL000628,OL00714,3
SL000629,OL00716,5
SL000630,OL00717,2
SL000631,OL00719,1
SL000632,OL00720,3
SL000633,OL00721,1
SL000634,OL00722,3
SL000635,OL00723,4
SL000636,OL00724,5
SL000637,OL00725,7
SL000638,OL00726,4
SL000639,OL00727,1
SL000640,OL00728,1
SL000641,OL00729,6
SL000642,OL00731,3
SL000643,OL00733,1
SL000644,OL00735,10
SL000645,OL00737,5
SL000646,OL00738,3
SL000647,OL00739,12
SL000648,OL00741,12
SL000649,OL00743,2
SL000650,OL00744,4
SL000651,OL00745,11
SL000652,OL00746,5
SL000653,OL00747,8
SL000654,OL00751,2
SL000655,OL00752,4
SL000656,OL00753,2
SL000657,OL00756,6
SL000658,OL00760,3
SL000659,OL00761,5
SL000660,OL00762,10
SL000661,OL00763,8
SL000662,OL00764,15
SL000663,OL00766,5
SL000664,OL00767,5
SL000665,OL00768,10
SL000666,OL00771,5
SL000667,OL00468,7
SL000667,OL00469,9
SL000667,OL00470,8
SL000667,OL00471,11
SL000667,OL00472,6
SL000668,OL00378,5
SL000668,OL00379,2
SL000668,OL00380,5
SL000668,OL00381,6
SL000669,OL00431,3
SL000669,OL00432,2
SL000669,OL00433,2
SL000669,OL00434,5
SL000670,OL00404,2
SL000670,OL00405,11
SL000670,OL00406,6
SL000670,OL00407,6
SL000670,OL00408,5
SL000671,OL00426,3
SL000672,OL00447,5
SL000673,OL00358,6
SL000673,OL00359,2
SL000673,OL00360,5
SL000674,OL00645,3
SL000674,OL00646,1
SL000674,OL00647,2
SL000675,OL00413,6
SL000675,OL00414,5
SL000675,OL00415,4
SL000676,OL00400,2
SL000676,OL00401,6
SL000676,OL00402,9
SL000676,OL00403,5
SL000677,OL00597,4
SL000677,OL00598,15
SL000677,OL00599,7
SL000677,OL00600,3
SL000678,OL00422,2
SL000679,OL00459,5
SL000680,OL00564,4
SL000680,OL00565,6
SL000680,OL00566,1
SL000680,OL00567,7
SL000681,OL00501,8
SL000682,OL00389,2
SL000682,OL00390,3
SL000682,OL00391,3
SL000682,OL00392,3
SL000682,OL00393,4
SL000683,OL00568,3
SL000684,OL00595,7
SL000684,OL00596,3
SL000685,OL00576,2
SL000685,OL00577,3
SL000686,OL00395,5
SL000686,OL00396,7
SL000686,OL00397,1
SL000686,OL00398,2
SL000686,OL00399,4
SL000687,OL00499,2
SL000687,OL00500,1
SL000688,OL00488,3
SL000688,OL00489,11
SL000688,OL00490,3
SL000689,OL00363,6
SL000689,OL00364,3
SL000689,OL00365,7
SL000689,OL00366,4
SL000690,OL00520,7
SL000690,OL00521,16
SL000691,OL00518,3
SL000691,OL00519,4
SL000692,OL00350,4
SL000692,OL00351,2
SL000692,OL00352,2
SL000693,OL00477,10
SL000694,OL00478,2
SL000694,OL00479,2
SL000694,OL00480,2
SL000694,OL00481,3
SL000695,OL00774,10
SL000696,OL00775,4
SL000697,OL00776,4
SL000698,OL00777,3
SL000699,OL00780,4
SL000700,OL00782,1
SL000701,OL00783,3
SL000702,OL00785,5
SL000703,OL00786,2
SL000704,OL00788,2
SL000705,OL00789,5
SL000706,OL00790,7
SL000707,OL00791,4
SL000708,OL00793,4
SL000709,OL00794,8
SL000710,OL00795,4
SL000711,OL00796,14
SL000712,OL00797,4
SL000713,OL00798,3
SL000714,OL00799,4
SL000715,OL00800,2
SL000716,OL00801,3
SL000717,OL00802,3
SL000718,OL00803,4
SL000719,OL00804,2
SL000720,OL00805,3
SL000721,OL00806,8
SL000722,OL00807,3
SL000723,OL00808,4
SL000724,OL00809,12
SL000725,OL00810,3
SL000726,OL00811,8
SL000727,OL00812,4
SL000728,OL00813,6
SL000729,OL00815,2
SL000730,OL00816,3
SL000731,OL00818,3
SL000732,OL00819,5
SL000733,OL00820,2
SL000734,OL00823,2
SL000735,OL00824,7
SL000736,OL00825,3
SL000737,OL00826,6
SL000738,OL00827,3
SL000739,OL00829,6
SL000740,OL00830,3
SL000741,OL00831,4
SL000742,OL00832,2
SL000743,OL00833,8
SL000744,OL00836,8
SL000745,OL00837,6
SL000746,OL00841,15
SL000747,OL00842,6
SL000748,OL00844,7
SL000749,OL00846,5
SL000750,OL00847,9
SL000751,OL00848,8
SL000752,OL00850,11
SL000753,OL00852,11
SL000754,OL00853,3
SL000755,OL00855,5
SL000756,OL00856,1
SL000757,OL00858,2
SL000758,OL00859,5
SL000759,OL00860,4
SL000760,OL00864,6
SL000761,OL00865,4
SL000762,OL00866,4
SL000763,OL00867,1
SL000764,OL00868,2
SL000765,OL00870,5
SL000766,OL00872,4
SL000767,OL00873,4
SL000768,OL00874,5
SL000769,OL00875,3
SL000770,OL00876,9
SL000771,OL00880,8
SL000772,OL00881,5
SL000773,OL00882,7
SL000774,OL00883,7
SL000775,OL00884,6
SL000776,OL00885,8
SL000777,OL00886,1
SL000778,OL00887,4
SL000779,OL00889,3
SL000780,OL00890,3
SL000781,OL00891,3
SL000782,OL00893,4
SL000783,OL00894,7
SL000784,OL00895,6
SL000785,OL00896,13
SL000786,OL00898,4
SL000787,OL00899,17
SL000788,OL00900,19
SL000789,OL00901,15
SL000790,OL00902,4
SL000791,OL00904,6
SL000792,OL00906,3
SL000793,OL00907,7
SL000794,OL00908,9
SL000795,OL00909,6
SL000796,OL00912,8
SL000797,OL00913,10
SL000798,OL00914,3
SL000799,OL00915,8
SL000800,OL00502,6
SL000800,OL00503,5
SL000800,OL00504,10
SL000800,OL00505,5
SL000801,OL00460,3
SL000802,OL00617,1
SL000802,OL00618,2
SL000802,OL00619,4
SL000803,OL00546,5
SL000803,OL00547,5
SL000803,OL00548,5
SL000803,OL00549,4
SL000804,OL00453,5
SL000805,OL00522,1
SL000805,OL00523,3
SL000805,OL00524,3
SL000805,OL00525,5
SL000805,OL00526,2
SL000806,OL00538,4
SL000806,OL00539,4
SL000806,OL00540,2
SL000806,OL00541,2
SL000807,OL00473,5
SL000807,OL00474,2
SL000807,OL00475,2
SL000807,OL00476,4
SL000808,OL00553,6
SL000809,OL00628,8
