Inbound_Shipment_ID,Supplier_ID,Destination_Hub_ID,SKU,Quantity_Received,Expected_Arrival_Date,Actual_Arrival_Date
INB00008,SUP009,HUB-BOM,SKU0406,40,2022-02-08,2022-02-12
INB00008,SUP009,HUB-BOM,SKU0470,43,2022-02-07,2022-02-12
INB00009,SUP007,HUB-BLR,SKU0038,93,2022-02-08,2022-02-12
INB00008,SUP009,HUB-BOM,SKU0096,51,2022-02-10,2022-02-13
INB00009,SUP007,HUB-BLR,SKU0101,97,2022-02-08,2022-02-13
INB00009,SUP007,HUB-BLR,SKU0354,99,2022-02-11,2022-02-13
INB00008,SUP009,HUB-BOM,SKU0150,40,2022-02-14,2022-02-14
INB00008,SUP009,HUB-BOM,SKU0254,37,2022-02-11,2022-02-14
INB00009,SUP007,HUB-BLR,SKU0065,105,2022-02-09,2022-02-14
INB00009,SUP007,HUB-BLR,SKU0239,113,2022-02-14,2022-02-14
INB00009,SUP007,HUB-BLR,SKU0435,117,2022-02-10,2022-02-14
INB00009,SUP007,HUB-BLR,SKU0480,97,2022-02-09,2022-02-14
INB00010,SUP017,HUB-DEL,SKU0194,62,2022-02-14,2022-02-14
INB00010,SUP017,HUB-DEL,SKU0086,61,2022-02-14,2022-02-15
INB00010,SUP017,HUB-DEL,SKU0308,60,2022-02-12,2022-02-15
INB00010,SUP017,HUB-DEL,SKU0417,64,2022-02-10,2022-02-15
INB00008,SUP009,HUB-BOM,SKU0014,51,2022-02-14,2022-02-16
INB00009,SUP007,HUB-BLR,SKU0183,101,2022-02-14,2022-02-16
INB00009,SUP007,HUB-BLR,SKU0205,101,2022-02-11,2022-02-16
INB00009,SUP007,HUB-BLR,SKU0242,99,2022-02-14,2022-02-16
INB00009,SUP007,HUB-BLR,SKU0294,102,2022-02-15,2022-02-16
INB00009,SUP007,HUB-BLR,SKU0407,114,2022-02-14,2022-02-16
INB00010,SUP017,HUB-DEL,SKU0128,59,2022-02-11,2022-02-16
INB00010,SUP017,HUB-DEL,SKU0342,72,2022-02-14,2022-02-16
INB00009,SUP007,HUB-BLR,SKU0166,93,2022-02-13,2022-02-17
INB00009,SUP007,HUB-BLR,SKU0309,93,2022-02-13,2022-02-17
INB00010,SUP017,HUB-DEL,SKU0144,73,2022-02-13,2022-02-17
INB00010,SUP017,HUB-DEL,SKU0238,60,2022-02-14,2022-02-17
INB00010,SUP017,HUB-DEL,SKU0462,60,2022-02-15,2022-02-17
INB00010,SUP017,HUB-DEL,SKU0007,65,2022-02-16,2022-02-18
INB00010,SUP017,HUB-DEL,SKU0212,59,2022-02-17,2022-02-18
INB00010,SUP017,HUB-DEL,SKU0403,57,2022-02-18,2022-02-18
INB00009,SUP007,HUB-BLR,SKU0063,98,2022-02-17,2022-02-19
INB00009,SUP007,HUB-BLR,SKU0409,104,2022-02-17,2022-02-19
INB00010,SUP017,HUB-DEL,SKU0003,60,2022-02-15,2022-02-19
INB00010,SUP017,HUB-DEL,SKU0027,64,2022-02-16,2022-02-19
INB00010,SUP017,HUB-DEL,SKU0046,59,2022-02-15,2022-02-19
INB00010,SUP017,HUB-DEL,SKU0117,78,2022-02-18,2022-02-19
INB00010,SUP017,HUB-DEL,SKU0265,61,2022-02-15,2022-02-19
INB00010,SUP017,HUB-DEL,SKU0382,71,2022-02-14,2022-02-19
INB00010,SUP017,HUB-DEL,SKU0463,60,2022-02-19,2022-02-19
INB00011,SUP006,HUB-BOM,SKU0154,47,2022-02-14,2022-02-19
INB00011,SUP006,HUB-BOM,SKU0155,40,2022-02-15,2022-02-19
INB00011,SUP006,HUB-BOM,SKU0400,39,2022-02-16,2022-02-19
INB00011,SUP006,HUB-BOM,SKU0481,43,2022-02-19,2022-02-19
INB00011,SUP006,HUB-BOM,SKU0123,40,2022-02-20,2022-02-20
INB00011,SUP006,HUB-BOM,SKU0159,44,2022-02-15,2022-02-20
INB00011,SUP006,HUB-BOM,SKU0411,45,2022-02-18,2022-02-20
INB00011,SUP006,HUB-BOM,SKU0106,39,2022-02-16,2022-02-21
INB00011,SUP006,HUB-BOM,SKU0107,38,2022-02-19,2022-02-21
INB00011,SUP006,HUB-BOM,SKU0119,42,2022-02-16,2022-02-21
INB00011,SUP006,HUB-BOM,SKU0129,40,2022-02-16,2022-02-21
INB00011,SUP006,HUB-BOM,SKU0177,46,2022-02-18,2022-02-21
INB00011,SUP006,HUB-BOM,SKU0220,43,2022-02-19,2022-02-21
INB00011,SUP006,HUB-BOM,SKU0257,51,2022-02-19,2022-02-21
INB00011,SUP006,HUB-BOM,SKU0331,40,2022-02-19,2022-02-21
INB00011,SUP006,HUB-BOM,SKU0387,37,2022-02-16,2022-02-21
INB00011,SUP006,HUB-BOM,SKU0415,42,2022-02-18,2022-02-21
INB00011,SUP006,HUB-BOM,SKU0456,37,2022-02-21,2022-02-21
INB00011,SUP006,HUB-BOM,SKU0469,41,2022-02-16,2022-02-21
INB00010,SUP017,HUB-DEL,SKU0390,64,2022-02-18,2022-02-22
INB00011,SUP006,HUB-BOM,SKU0064,37,2022-02-17,2022-02-22
INB00011,SUP006,HUB-BOM,SKU0097,43,2022-02-19,2022-02-22
INB00011,SUP006,HUB-BOM,SKU0108,39,2022-02-19,2022-02-22
INB00011,SUP006,HUB-BOM,SKU0126,47,2022-02-22,2022-02-22
INB00011,SUP006,HUB-BOM,SKU0164,46,2022-02-17,2022-02-22
INB00011,SUP006,HUB-BOM,SKU0171,44,2022-02-19,2022-02-22
INB00011,SUP006,HUB-BOM,SKU0180,40,2022-02-21,2022-02-22
INB00011,SUP006,HUB-BOM,SKU0319,42,2022-02-22,2022-02-22
INB00011,SUP006,HUB-BOM,SKU0465,54,2022-02-19,2022-02-22
INB00011,SUP006,HUB-BOM,SKU0482,45,2022-02-17,2022-02-22
INB00012,SUP016,HUB-BLR,SKU0120,101,2022-02-21,2022-02-22
INB00012,SUP016,HUB-BLR,SKU0348,96,2022-02-20,2022-02-22
INB00012,SUP016,HUB-BLR,SKU0430,102,2022-02-21,2022-02-22
INB00011,SUP006,HUB-BOM,SKU0040,40,2022-02-22,2022-02-23
INB00011,SUP006,HUB-BOM,SKU0077,40,2022-02-20,2022-02-23
INB00011,SUP006,HUB-BOM,SKU0118,40,2022-02-18,2022-02-23
INB00011,SUP006,HUB-BOM,SKU0262,38,2022-02-22,2022-02-23
INB00011,SUP006,HUB-BOM,SKU0276,48,2022-02-19,2022-02-23
INB00011,SUP006,HUB-BOM,SKU0343,46,2022-02-21,2022-02-23
INB00011,SUP006,HUB-BOM,SKU0432,41,2022-02-19,2022-02-23
INB00012,SUP016,HUB-BLR,SKU0332,94,2022-02-19,2022-02-23
INB00011,SUP006,HUB-BOM,SKU0001,40,2022-02-24,2022-02-24
INB00011,SUP006,HUB-BOM,SKU0116,63,2022-02-20,2022-02-24
INB00011,SUP006,HUB-BOM,SKU0136,38,2022-02-24,2022-02-24
INB00011,SUP006,HUB-BOM,SKU0139,44,2022-02-19,2022-02-24
INB00011,SUP006,HUB-BOM,SKU0170,49,2022-02-24,2022-02-24
INB00011,SUP006,HUB-BOM,SKU0259,46,2022-02-20,2022-02-24
INB00011,SUP006,HUB-BOM,SKU0273,46,2022-02-23,2022-02-24
INB00011,SUP006,HUB-BOM,SKU0302,39,2022-02-21,2022-02-24
INB00011,SUP006,HUB-BOM,SKU0337,44,2022-02-24,2022-02-24
INB00011,SUP006,HUB-BOM,SKU0448,39,2022-02-24,2022-02-24
INB00012,SUP016,HUB-BLR,SKU0270,94,2022-02-19,2022-02-24
INB00011,SUP006,HUB-BOM,SKU0151,41,2022-02-25,2022-02-25
INB00011,SUP006,HUB-BOM,SKU0193,49,2022-02-24,2022-02-25
INB00011,SUP006,HUB-BOM,SKU0365,42,2022-02-23,2022-02-25
INB00012,SUP016,HUB-BLR,SKU0285,118,2022-02-21,2022-02-25
INB00012,SUP016,HUB-BLR,SKU0295,95,2022-02-20,2022-02-25
INB00012,SUP016,HUB-BLR,SKU0363,103,2022-02-20,2022-02-25
INB00012,SUP016,HUB-BLR,SKU0488,109,2022-02-23,2022-02-25
INB00013,SUP012,HUB-DEL,SKU0282,63,2022-02-24,2022-02-25
INB00011,SUP006,HUB-BOM,SKU0049,41,2022-02-26,2022-02-26
INB00011,SUP006,HUB-BOM,SKU0178,45,2022-02-24,2022-02-26
INB00011,SUP006,HUB-BOM,SKU0266,39,2022-02-24,2022-02-26
INB00012,SUP016,HUB-BLR,SKU0041,105,2022-02-21,2022-02-26
INB00012,SUP016,HUB-BLR,SKU0061,102,2022-02-26,2022-02-26
INB00012,SUP016,HUB-BLR,SKU0094,112,2022-02-26,2022-02-26
INB00012,SUP016,HUB-BLR,SKU0203,103,2022-02-24,2022-02-26
INB00012,SUP016,HUB-BLR,SKU0248,98,2022-02-22,2022-02-26
INB00012,SUP016,HUB-BLR,SKU0336,95,2022-02-23,2022-02-26
INB00013,SUP012,HUB-DEL,SKU0298,61,2022-02-26,2022-02-26
INB00012,SUP016,HUB-BLR,SKU0322,118,2022-02-25,2022-02-27
INB00012,SUP016,HUB-BLR,SKU0418,118,2022-02-24,2022-02-27
INB00012,SUP016,HUB-BLR,SKU0495,96,2022-02-25,2022-02-27
INB00013,SUP012,HUB-DEL,SKU0060,75,2022-02-24,2022-02-27
INB00013,SUP012,HUB-DEL,SKU0141,76,2022-02-23,2022-02-27
INB00013,SUP012,HUB-DEL,SKU0173,69,2022-02-23,2022-02-27
INB00013,SUP012,HUB-DEL,SKU0196,57,2022-02-22,2022-02-27
INB00013,SUP012,HUB-DEL,SKU0328,66,2022-02-25,2022-02-27
INB00013,SUP012,HUB-DEL,SKU0376,90,2022-02-24,2022-02-27
INB00012,SUP016,HUB-BLR,SKU0005,107,2022-02-26,2022-02-28
INB00012,SUP016,HUB-BLR,SKU0121,111,2022-02-23,2022-02-28
INB00012,SUP016,HUB-BLR,SKU0137,93,2022-02-26,2022-02-28
INB00012,SUP016,HUB-BLR,SKU0227,99,2022-02-25,2022-02-28
INB00012,SUP016,HUB-BLR,SKU0472,101,2022-02-25,2022-02-28
INB00013,SUP012,HUB-DEL,SKU0036,60,2022-02-23,2022-02-28
INB00013,SUP012,HUB-DEL,SKU0104,69,2022-02-27,2022-02-28
INB00013,SUP012,HUB-DEL,SKU0399,69,2022-02-25,2022-02-28
INB00012,SUP016,HUB-BLR,SKU0004,96,2022-02-26,2022-03-01
INB00013,SUP012,HUB-DEL,SKU0002,63,2022-03-01,2022-03-01
INB00013,SUP012,HUB-DEL,SKU0017,59,2022-03-01,2022-03-01
INB00013,SUP012,HUB-DEL,SKU0233,61,2022-03-01,2022-03-01
INB00013,SUP012,HUB-DEL,SKU0416,67,2022-02-27,2022-03-01
INB00014,SUP015,HUB-BOM,SKU0066,43,2022-02-27,2022-03-01
INB00014,SUP015,HUB-BOM,SKU0278,38,2022-02-25,2022-03-01
INB00013,SUP012,HUB-DEL,SKU0142,57,2022-03-01,2022-03-02
INB00013,SUP012,HUB-DEL,SKU0163,67,2022-02-25,2022-03-02
INB00013,SUP012,HUB-DEL,SKU0221,57,2022-02-25,2022-03-02
INB00013,SUP012,HUB-DEL,SKU0249,59,2022-02-27,2022-03-02
INB00013,SUP012,HUB-DEL,SKU0381,64,2022-02-26,2022-03-02
INB00013,SUP012,HUB-DEL,SKU0449,57,2022-02-27,2022-03-02
INB00014,SUP015,HUB-BOM,SKU0255,40,2022-03-02,2022-03-02
INB00014,SUP015,HUB-BOM,SKU0373,50,2022-02-25,2022-03-02
INB00013,SUP012,HUB-DEL,SKU0316,74,2022-03-02,2022-03-03
INB00014,SUP015,HUB-BOM,SKU0076,51,2022-02-26,2022-03-03
INB00014,SUP015,HUB-BOM,SKU0420,41,2022-03-02,2022-03-03
INB00014,SUP015,HUB-BOM,SKU0452,37,2022-03-01,2022-03-03
INB00014,SUP015,HUB-BOM,SKU0473,41,2022-03-03,2022-03-03
INB00013,SUP012,HUB-DEL,SKU0055,64,2022-03-03,2022-03-04
INB00013,SUP012,HUB-DEL,SKU0157,61,2022-03-04,2022-03-04
INB00014,SUP015,HUB-BOM,SKU0010,41,2022-03-04,2022-03-04
INB00014,SUP015,HUB-BOM,SKU0083,54,2022-03-01,2022-03-04
INB00014,SUP015,HUB-BOM,SKU0147,54,2022-03-01,2022-03-04
INB00014,SUP015,HUB-BOM,SKU0315,41,2022-03-02,2022-03-04
INB00014,SUP015,HUB-BOM,SKU0378,44,2022-03-04,2022-03-04
INB00014,SUP015,HUB-BOM,SKU0436,45,2022-02-28,2022-03-04
INB00015,SUP016,HUB-BLR,SKU0234,111,2022-03-03,2022-03-04
INB00014,SUP015,HUB-BOM,SKU0025,47,2022-03-02,2022-03-05
INB00014,SUP015,HUB-BOM,SKU0032,42,2022-03-03,2022-03-05
INB00014,SUP015,HUB-BOM,SKU0189,42,2022-03-02,2022-03-05
INB00014,SUP015,HUB-BOM,SKU0191,42,2022-03-01,2022-03-05
INB00014,SUP015,HUB-BOM,SKU0195,37,2022-03-03,2022-03-05
INB00014,SUP015,HUB-BOM,SKU0214,58,2022-03-02,2022-03-05
INB00014,SUP015,HUB-BOM,SKU0219,45,2022-03-04,2022-03-05
INB00014,SUP015,HUB-BOM,SKU0443,46,2022-03-01,2022-03-05
INB00014,SUP015,HUB-BOM,SKU0451,42,2022-03-04,2022-03-05
INB00014,SUP015,HUB-BOM,SKU0461,50,2022-03-02,2022-03-05
INB00015,SUP016,HUB-BLR,SKU0156,105,2022-03-05,2022-03-05
INB00015,SUP016,HUB-BLR,SKU0323,100,2022-03-03,2022-03-05
INB00015,SUP016,HUB-BLR,SKU0458,94,2022-02-28,2022-03-05
INB00014,SUP015,HUB-BOM,SKU0176,37,2022-03-04,2022-03-06
INB00014,SUP015,HUB-BOM,SKU0250,45,2022-03-04,2022-03-06
INB00014,SUP015,HUB-BOM,SKU0338,38,2022-03-04,2022-03-06
INB00014,SUP015,HUB-BOM,SKU0389,41,2022-03-01,2022-03-06
INB00015,SUP016,HUB-BLR,SKU0130,107,2022-03-06,2022-03-06
INB00015,SUP016,HUB-BLR,SKU0388,93,2022-03-04,2022-03-06
INB00014,SUP015,HUB-BOM,SKU0054,45,2022-03-04,2022-03-07
INB00014,SUP015,HUB-BOM,SKU0084,48,2022-03-04,2022-03-07
INB00014,SUP015,HUB-BOM,SKU0347,39,2022-03-07,2022-03-07
INB00015,SUP016,HUB-BLR,SKU0023,106,2022-03-06,2022-03-07
INB00015,SUP016,HUB-BLR,SKU0026,115,2022-03-07,2022-03-07
INB00015,SUP016,HUB-BLR,SKU0072,96,2022-03-07,2022-03-07
INB00015,SUP016,HUB-BLR,SKU0089,115,2022-03-07,2022-03-07
INB00015,SUP016,HUB-BLR,SKU0109,96,2022-03-06,2022-03-07
INB00015,SUP016,HUB-BLR,SKU0182,107,2022-03-05,2022-03-07
INB00015,SUP016,HUB-BLR,SKU0237,114,2022-03-04,2022-03-07
INB00016,SUP020,HUB-DEL,SKU0356,59,2022-03-02,2022-03-07
INB00016,SUP020,HUB-DEL,SKU0487,62,2022-03-07,2022-03-07
INB00014,SUP015,HUB-BOM,SKU0396,46,2022-03-06,2022-03-08
INB00014,SUP015,HUB-BOM,SKU0437,61,2022-03-04,2022-03-08
INB00015,SUP016,HUB-BLR,SKU0198,108,2022-03-03,2022-03-08
INB00015,SUP016,HUB-BLR,SKU0247,106,2022-03-06,2022-03-08
INB00015,SUP016,HUB-BLR,SKU0305,99,2022-03-07,2022-03-08
INB00015,SUP016,HUB-BLR,SKU0313,125,2022-03-07,2022-03-08
INB00015,SUP016,HUB-BLR,SKU0352,112,2022-03-08,2022-03-08
INB00015,SUP016,HUB-BLR,SKU0357,112,2022-03-04,2022-03-08
INB00015,SUP016,HUB-BLR,SKU0466,95,2022-03-07,2022-03-08
INB00016,SUP020,HUB-DEL,SKU0029,65,2022-03-07,2022-03-08
INB00016,SUP020,HUB-DEL,SKU0092,58,2022-03-04,2022-03-08
INB00016,SUP020,HUB-DEL,SKU0317,77,2022-03-06,2022-03-08
INB00014,SUP015,HUB-BOM,SKU0355,44,2022-03-04,2022-03-09
INB00015,SUP016,HUB-BLR,SKU0051,97,2022-03-06,2022-03-09
INB00015,SUP016,HUB-BLR,SKU0122,98,2022-03-05,2022-03-09
INB00015,SUP016,HUB-BLR,SKU0232,112,2022-03-05,2022-03-09
INB00015,SUP016,HUB-BLR,SKU0290,97,2022-03-04,2022-03-09
INB00015,SUP016,HUB-BLR,SKU0377,94,2022-03-09,2022-03-09
INB00016,SUP020,HUB-DEL,SKU0459,58,2022-03-08,2022-03-09
INB00015,SUP016,HUB-BLR,SKU0185,101,2022-03-08,2022-03-10
INB00015,SUP016,HUB-BLR,SKU0211,101,2022-03-06,2022-03-10
INB00015,SUP016,HUB-BLR,SKU0401,106,2022-03-07,2022-03-10
INB00015,SUP016,HUB-BLR,SKU0433,112,2022-03-06,2022-03-10
INB00016,SUP020,HUB-DEL,SKU0006,58,2022-03-05,2022-03-10
INB00016,SUP020,HUB-DEL,SKU0133,67,2022-03-07,2022-03-10
INB00016,SUP020,HUB-DEL,SKU0134,59,2022-03-07,2022-03-10
INB00016,SUP020,HUB-DEL,SKU0187,60,2022-03-10,2022-03-10
INB00016,SUP020,HUB-DEL,SKU0439,67,2022-03-07,2022-03-10
INB00016,SUP020,HUB-DEL,SKU0447,58,2022-03-06,2022-03-10
INB00016,SUP020,HUB-DEL,SKU0498,64,2022-03-08,2022-03-10
INB00016,SUP020,HUB-DEL,SKU0111,68,2022-03-08,2022-03-11
INB00016,SUP020,HUB-DEL,SKU0184,76,2022-03-09,2022-03-11
INB00016,SUP020,HUB-DEL,SKU0306,61,2022-03-11,2022-03-11
INB00016,SUP020,HUB-DEL,SKU0325,69,2022-03-11,2022-03-11
INB00016,SUP020,HUB-DEL,SKU0364,64,2022-03-08,2022-03-11
INB00016,SUP020,HUB-DEL,SKU0384,68,2022-03-09,2022-03-11
INB00016,SUP020,HUB-DEL,SKU0414,60,2022-03-07,2022-03-11
INB00016,SUP020,HUB-DEL,SKU0464,58,2022-03-07,2022-03-11
INB00015,SUP016,HUB-BLR,SKU0362,93,2022-03-09,2022-03-12
INB00016,SUP020,HUB-DEL,SKU0062,61,2022-03-12,2022-03-12
INB00016,SUP020,HUB-DEL,SKU0078,64,2022-03-08,2022-03-12
INB00016,SUP020,HUB-DEL,SKU0149,76,2022-03-12,2022-03-12
INB00016,SUP020,HUB-DEL,SKU0240,66,2022-03-11,2022-03-12
INB00016,SUP020,HUB-DEL,SKU0467,63,2022-03-09,2022-03-12
INB00017,SUP001,HUB-BOM,SKU0428,40,2022-03-10,2022-03-12
INB00017,SUP001,HUB-BOM,SKU0434,40,2022-03-11,2022-03-12
INB00017,SUP001,HUB-BOM,SKU0457,55,2022-03-09,2022-03-12
INB00016,SUP020,HUB-DEL,SKU0230,57,2022-03-10,2022-03-13
INB00016,SUP020,HUB-DEL,SKU0253,59,2022-03-12,2022-03-13
INB00017,SUP001,HUB-BOM,SKU0014,39,2022-03-10,2022-03-13
INB00017,SUP001,HUB-BOM,SKU0213,38,2022-03-13,2022-03-13
INB00017,SUP001,HUB-BOM,SKU0310,48,2022-03-08,2022-03-13
INB00017,SUP001,HUB-BOM,SKU0353,51,2022-03-09,2022-03-13
INB00017,SUP001,HUB-BOM,SKU0372,42,2022-03-09,2022-03-13
INB00017,SUP001,HUB-BOM,SKU0410,39,2022-03-13,2022-03-13
INB00016,SUP020,HUB-DEL,SKU0135,60,2022-03-09,2022-03-14
INB00016,SUP020,HUB-DEL,SKU0289,58,2022-03-13,2022-03-14
INB00017,SUP001,HUB-BOM,SKU0067,41,2022-03-11,2022-03-14
INB00017,SUP001,HUB-BOM,SKU0395,42,2022-03-13,2022-03-14
INB00016,SUP020,HUB-DEL,SKU0412,64,2022-03-15,2022-03-15
INB00016,SUP020,HUB-DEL,SKU0427,59,2022-03-12,2022-03-15
INB00017,SUP001,HUB-BOM,SKU0019,40,2022-03-12,2022-03-15
INB00017,SUP001,HUB-BOM,SKU0020,44,2022-03-12,2022-03-15
INB00017,SUP001,HUB-BOM,SKU0028,42,2022-03-10,2022-03-15
INB00017,SUP001,HUB-BOM,SKU0114,48,2022-03-12,2022-03-15
INB00017,SUP001,HUB-BOM,SKU0146,55,2022-03-14,2022-03-15
INB00017,SUP001,HUB-BOM,SKU0160,39,2022-03-11,2022-03-15
INB00017,SUP001,HUB-BOM,SKU0275,40,2022-03-11,2022-03-15
INB00017,SUP001,HUB-BOM,SKU0287,41,2022-03-15,2022-03-15
INB00017,SUP001,HUB-BOM,SKU0300,40,2022-03-13,2022-03-15
INB00017,SUP001,HUB-BOM,SKU0311,42,2022-03-11,2022-03-15
INB00017,SUP001,HUB-BOM,SKU0340,49,2022-03-13,2022-03-15
INB00017,SUP001,HUB-BOM,SKU0374,38,2022-03-11,2022-03-15
INB00017,SUP001,HUB-BOM,SKU0471,48,2022-03-13,2022-03-15
INB00017,SUP001,HUB-BOM,SKU0476,41,2022-03-15,2022-03-15
INB00018,SUP016,HUB-BLR,SKU0099,100,2022-03-10,2022-03-15
INB00018,SUP016,HUB-BLR,SKU0229,97,2022-03-10,2022-03-15
INB00018,SUP016,HUB-BLR,SKU0333,110,2022-03-12,2022-03-15
INB00018,SUP016,HUB-BLR,SKU0367,103,2022-03-13,2022-03-15
INB00017,SUP001,HUB-BOM,SKU0085,39,2022-03-13,2022-03-16
INB00017,SUP001,HUB-BOM,SKU0150,38,2022-03-11,2022-03-16
INB00017,SUP001,HUB-BOM,SKU0223,39,2022-03-12,2022-03-16
INB00017,SUP001,HUB-BOM,SKU0337,43,2022-03-13,2022-03-16
INB00017,SUP001,HUB-BOM,SKU0375,42,2022-03-15,2022-03-16
INB00017,SUP001,HUB-BOM,SKU0446,45,2022-03-11,2022-03-16
INB00017,SUP001,HUB-BOM,SKU0477,40,2022-03-11,2022-03-16
INB00018,SUP016,HUB-BLR,SKU0035,125,2022-03-13,2022-03-16
INB00018,SUP016,HUB-BLR,SKU0093,98,2022-03-16,2022-03-16
INB00018,SUP016,HUB-BLR,SKU0335,107,2022-03-16,2022-03-16
INB00017,SUP001,HUB-BOM,SKU0070,48,2022-03-13,2022-03-17
INB00017,SUP001,HUB-BOM,SKU0124,41,2022-03-12,2022-03-17
INB00017,SUP001,HUB-BOM,SKU0127,45,2022-03-12,2022-03-17
INB00017,SUP001,HUB-BOM,SKU0260,43,2022-03-17,2022-03-17
INB00018,SUP016,HUB-BLR,SKU0021,96,2022-03-12,2022-03-17
INB00018,SUP016,HUB-BLR,SKU0162,108,2022-03-17,2022-03-17
INB00018,SUP016,HUB-BLR,SKU0179,115,2022-03-17,2022-03-17
INB00018,SUP016,HUB-BLR,SKU0320,96,2022-03-16,2022-03-17
INB00018,SUP016,HUB-BLR,SKU0326,109,2022-03-13,2022-03-17
INB00018,SUP016,HUB-BLR,SKU0361,102,2022-03-12,2022-03-17
INB00018,SUP016,HUB-BLR,SKU0369,134,2022-03-15,2022-03-17
INB00018,SUP016,HUB-BLR,SKU0475,98,2022-03-15,2022-03-17
INB00018,SUP016,HUB-BLR,SKU0050,110,2022-03-13,2022-03-18
INB00018,SUP016,HUB-BLR,SKU0132,93,2022-03-15,2022-03-18
INB00018,SUP016,HUB-BLR,SKU0405,95,2022-03-17,2022-03-18
INB00018,SUP016,HUB-BLR,SKU0486,103,2022-03-15,2022-03-18
INB00019,SUP012,HUB-DEL,SKU0138,59,2022-03-18,2022-03-18
INB00019,SUP012,HUB-DEL,SKU0301,71,2022-03-15,2022-03-18
INB00017,SUP001,HUB-BOM,SKU0009,40,2022-03-19,2022-03-19
INB00017,SUP001,HUB-BOM,SKU0024,40,2022-03-16,2022-03-19
INB00017,SUP001,HUB-BOM,SKU0168,46,2022-03-16,2022-03-19
INB00017,SUP001,HUB-BOM,SKU0350,47,2022-03-16,2022-03-19
INB00018,SUP016,HUB-BLR,SKU0069,116,2022-03-15,2022-03-19
