Backorder_ID,Order_Line_ID,Order_ID,SKU,Quantity_Backordered,Backorder_Date,Status
BO00035,OL33860,ORD11279,SKU0497,4,2022-10-20,Pending
BO00036,OL33870,ORD11282,SKU0225,20,2022-10-20,Pending
BO00037,OL33898,ORD11295,SKU0336,12,2022-10-20,Pending
BO00038,OL33917,ORD11303,SKU0457,16,2022-10-20,Pending
BO00039,OL34070,ORD11358,SKU0097,14,2022-10-21,Pending
BO00040,OL34179,ORD11396,SKU0097,14,2022-10-23,Pending
BO00041,OL34296,ORD11434,SKU0188,8,2022-10-24,Pending
BO00042,OL34312,ORD11440,SKU0097,9,2022-10-24,Pending
BO00043,OL34550,ORD11520,SKU0188,15,2022-10-26,Pending
BO00044,OL34678,ORD11560,SKU0336,9,2022-10-26,Pending
BO00045,OL34700,ORD11567,SKU0336,8,2022-10-27,Pending
BO00046,OL34829,ORD11606,SKU0188,24,2022-10-28,Pending
BO00047,OL34846,ORD11614,SKU0322,12,2022-10-28,Pending
BO00048,OL34913,ORD11634,SKU0436,5,2022-10-28,Pending
BO00049,OL34976,ORD11653,SKU0188,16,2022-10-29,Pending
BO00050,OL34983,ORD11655,SKU0376,23,2022-10-29,Pending
BO00051,OL35005,ORD11662,SKU0447,7,2022-10-29,Pending
BO00052,OL35030,ORD11671,SKU0350,2,2022-10-29,Pending
BO00053,OL35083,ORD11688,SKU0023,14,2022-10-29,Pending
BO00054,OL35177,ORD11720,SKU0336,8,2022-10-31,Pending
BO00055,OL35338,ORD11767,SKU0333,5,2022-11-01,Pending
BO00056,OL35348,ORD11769,SKU0322,6,2022-11-01,Pending
BO00057,OL35815,ORD11921,SKU0302,23,2022-11-06,Pending
BO00058,OL36053,ORD12004,SKU0055,8,2022-11-08,Pending
BO00059,OL36074,ORD12010,SKU0167,13,2022-11-08,Pending
BO00060,OL36360,ORD12115,SKU0042,7,2022-11-11,Pending
BO00061,OL36466,ORD12148,SKU0215,9,2022-11-12,Pending
BO00062,OL37470,ORD12472,SKU0182,7,2022-11-21,Pending
BO00063,OL37558,ORD12500,SKU0498,3,2022-11-21,Pending
BO00064,OL38247,ORD12726,SKU0306,19,2022-11-27,Pending
BO00065,OL38287,ORD12738,SKU0263,13,2022-11-28,Pending
BO00066,OL38814,ORD12915,SKU0265,10,2022-12-02,Pending
BO00067,OL39132,ORD13017,SKU0380,8,2022-12-05,Pending
BO00068,OL39696,ORD13204,SKU0387,1,2022-12-10,Pending
BO00069,OL39789,ORD13236,SKU0387,10,2022-12-11,Pending
BO00070,OL39813,ORD13242,SKU0387,12,2022-12-11,Pending
BO00071,OL40085,ORD13324,SKU0481,5,2022-12-13,Pending
BO00072,OL40100,ORD13330,SKU0128,13,2022-12-13,Pending
BO00073,OL40191,ORD13362,SKU0030,6,2022-12-14,Pending
BO00074,OL41053,ORD13655,SKU0109,1,2022-12-21,Pending
BO00075,OL64522,ORD21491,SKU0453,4,2023-06-17,Pending
BO00076,OL68239,ORD22720,SKU0228,1,2023-07-15,Pending
BO00077,OL68667,ORD22858,SKU0452,16,2023-07-18,Pending
BO00078,OL69587,ORD23177,SKU0452,33,2023-07-26,Pending
BO00079,OL69802,ORD23254,SKU0452,10,2023-07-28,Pending
BO00080,OL69858,ORD23273,SKU0452,15,2023-07-29,Pending
BO00081,OL70614,ORD23524,SKU0163,16,2023-08-04,Pending
BO00082,OL70974,ORD23650,SKU0156,10,2023-08-06,Pending
BO00083,OL71019,ORD23667,SKU0156,10,2023-08-06,Pending
BO00084,OL71258,ORD23741,SKU0156,19,2023-08-08,Pending
BO00085,OL72124,ORD24043,SKU0230,2,2023-08-15,Pending
BO00086,OL72543,ORD24177,SKU0088,10,2023-08-19,Pending
BO00087,OL72610,ORD24198,SKU0088,9,2023-08-19,Pending
BO00088,OL73563,ORD24516,SKU0427,6,2023-08-27,Pending
BO00089,OL73756,ORD24582,SKU0427,9,2023-08-29,Pending
BO00090,OL77803,ORD25924,SKU0434,11,2023-09-27,Pending
BO00091,OL79120,ORD26367,SKU0397,13,2023-10-07,Pending
BO00092,OL79124,ORD26368,SKU0397,10,2023-10-07,Pending
BO00093,OL79132,ORD26370,SKU0397,30,2023-10-07,Pending
BO00094,OL79266,ORD26415,SKU0119,7,2023-10-08,Pending
BO00095,OL79324,ORD26437,SKU0054,1,2023-10-08,Pending
BO00096,OL79326,ORD26437,SKU0127,1,2023-10-08,Pending
BO00097,OL79388,ORD26456,SKU0259,11,2023-10-09,Pending
BO00098,OL79408,ORD26463,SKU0127,14,2023-10-09,Pending
BO00099,OL79468,ORD26480,SKU0127,14,2023-10-09,Pending
BO00100,OL79471,ORD26482,SKU0259,13,2023-10-10,Pending
BO00101,OL79480,ORD26484,SKU0119,17,2023-10-10,Pending
BO00102,OL79508,ORD26493,SKU0094,3,2023-10-10,Pending
BO00103,OL79562,ORD26510,SKU0054,20,2023-10-10,Pending
BO00104,OL79593,ORD26521,SKU0119,7,2023-10-11,Pending
BO00105,OL79611,ORD26527,SKU0119,8,2023-10-11,Pending
BO00106,OL79690,ORD26549,SKU0328,3,2023-10-11,Pending
BO00107,OL79846,ORD26597,SKU0054,11,2023-10-12,Pending
BO00108,OL79853,ORD26598,SKU0094,11,2023-10-12,Pending
BO00109,OL79857,ORD26601,SKU0119,7,2023-10-12,Pending
BO00110,OL79872,ORD26606,SKU0129,10,2023-10-12,Pending
BO00111,OL80000,ORD26647,SKU0054,15,2023-10-13,Pending
BO00112,OL80041,ORD26660,SKU0094,8,2023-10-14,Pending
BO00113,OL80050,ORD26663,SKU0406,11,2023-10-14,Pending
BO00114,OL80124,ORD26688,SKU0129,14,2023-10-14,Pending
BO00115,OL80162,ORD26700,SKU0182,23,2023-10-15,Pending
BO00116,OL80375,ORD26779,SKU0138,14,2023-10-17,Pending
BO00117,OL80391,ORD26786,SKU0138,20,2023-10-17,Pending
BO00118,OL80402,ORD26788,SKU0054,27,2023-10-17,Pending
BO00119,OL80448,ORD26804,SKU0006,8,2023-10-17,Pending
BO00120,OL80708,ORD26889,SKU0033,24,2023-10-19,Pending
BO00121,OL80758,ORD26908,SKU0033,9,2023-10-20,Pending
BO00122,OL80911,ORD26957,SKU0232,8,2023-10-21,Pending
BO00123,OL80981,ORD26976,SKU0036,7,2023-10-21,Pending
BO00124,OL81062,ORD27004,SKU0033,11,2023-10-22,Pending
BO00125,OL81069,ORD27006,SKU0250,25,2023-10-22,Pending
BO00126,OL81075,ORD27007,SKU0421,18,2023-10-22,Pending
BO00127,OL81086,ORD27010,SKU0219,14,2023-10-22,Pending
BO00128,OL81126,ORD27025,SKU0220,30,2023-10-22,Pending
BO00129,OL81140,ORD27028,SKU0086,2,2023-10-23,Pending
BO00130,OL81177,ORD27039,SKU0033,10,2023-10-23,Pending
BO00131,OL81193,ORD27045,SKU0036,8,2023-10-23,Pending
BO00132,OL81263,ORD27068,SKU0322,15,2023-10-23,Pending
BO00133,OL81338,ORD27094,SKU0250,18,2023-10-24,Pending
BO00134,OL81357,ORD27100,SKU0006,14,2023-10-24,Pending
BO00135,OL81415,ORD27122,SKU0111,9,2023-10-25,Pending
BO00136,OL81501,ORD27149,SKU0033,18,2023-10-25,Pending
BO00137,OL81524,ORD27158,SKU0416,6,2023-10-25,Pending
BO00138,OL81682,ORD27207,SKU0006,10,2023-10-27,Pending
BO00139,OL81775,ORD27242,SKU0250,26,2023-10-27,Pending
BO00140,OL81782,ORD27244,SKU0031,1,2023-10-27,Pending
BO00141,OL81817,ORD27256,SKU0011,19,2023-10-28,Pending
BO00142,OL81855,ORD27269,SKU0042,6,2023-10-28,Pending
BO00143,OL81872,ORD27273,SKU0250,15,2023-10-28,Pending
BO00144,OL81881,ORD27276,SKU0042,13,2023-10-28,Pending
BO00145,OL81890,ORD27279,SKU0447,3,2023-10-28,Pending
BO00146,OL81914,ORD27289,SKU0447,33,2023-10-28,Pending
BO00147,OL81959,ORD27306,SKU0196,7,2023-10-29,Pending
BO00148,OL82003,ORD27319,SKU0262,16,2023-10-29,Pending
BO00149,OL82196,ORD27388,SKU0009,13,2023-10-31,Pending
BO00150,OL82216,ORD27394,SKU0358,5,2023-10-31,Pending
BO00151,OL82235,ORD27401,SKU0181,23,2023-10-31,Pending
BO00152,OL82238,ORD27401,SKU0009,29,2023-10-31,Pending
BO00153,OL82340,ORD27431,SKU0312,10,2023-11-01,Pending
BO00154,OL82426,ORD27459,SKU0291,4,2023-11-01,Pending
BO00155,OL82481,ORD27480,SKU0196,6,2023-11-02,Pending
BO00156,OL82487,ORD27482,SKU0378,9,2023-11-02,Pending
BO00157,OL82511,ORD27492,SKU0031,6,2023-11-02,Pending
BO00158,OL82569,ORD27512,SKU0308,13,2023-11-02,Pending
BO00159,OL82602,ORD27526,SKU0250,14,2023-11-03,Pending
BO00160,OL82611,ORD27529,SKU0182,11,2023-11-03,Pending
BO00161,OL82626,ORD27532,SKU0287,10,2023-11-03,Pending
BO00162,OL82627,ORD27533,SKU0378,11,2023-11-03,Pending
BO00163,OL82774,ORD27586,SKU0182,12,2023-11-04,Pending
BO00164,OL82822,ORD27600,SKU0021,13,2023-11-04,Pending
BO00165,OL82897,ORD27626,SKU0378,14,2023-11-05,Pending
BO00166,OL82925,ORD27633,SKU0378,8,2023-11-05,Pending
BO00167,OL82936,ORD27636,SKU0096,13,2023-11-05,Pending
BO00168,OL83003,ORD27661,SKU0021,10,2023-11-06,Pending
BO00169,OL83020,ORD27666,SKU0107,17,2023-11-06,Pending
BO00170,OL83035,ORD27670,SKU0458,16,2023-11-06,Pending
BO00171,OL83163,ORD27713,SKU0031,7,2023-11-07,Pending
BO00172,OL83513,ORD27829,SKU0295,16,2023-11-09,Pending
BO00173,OL83545,ORD27839,SKU0472,18,2023-11-09,Pending
BO00174,OL83549,ORD27840,SKU0295,3,2023-11-09,Pending
BO00175,OL83748,ORD27900,SKU0472,20,2023-11-11,Pending
BO00176,OL83782,ORD27910,SKU0380,2,2023-11-11,Pending
BO00177,OL83783,ORD27910,SKU0350,5,2023-11-11,Pending
BO00178,OL83805,ORD27917,SKU0472,20,2023-11-11,Pending
BO00179,OL83808,ORD27918,SKU0074,1,2023-11-11,Pending
BO00180,OL83851,ORD27932,SKU0350,10,2023-11-11,Pending
BO00181,OL83938,ORD27959,SKU0135,13,2023-11-12,Pending
BO00182,OL84015,ORD27983,SKU0295,7,2023-11-12,Pending
BO00183,OL84021,ORD27984,SKU0135,6,2023-11-12,Pending
BO00184,OL84067,ORD27997,SKU0350,5,2023-11-13,Pending
BO00185,OL84081,ORD28001,SKU0295,12,2023-11-13,Pending
BO00186,OL84143,ORD28020,SKU0046,4,2023-11-13,Pending
BO00187,OL84171,ORD28029,SKU0295,13,2023-11-13,Pending
BO00188,OL84387,ORD28108,SKU0074,8,2023-11-15,Pending
BO00189,OL84391,ORD28110,SKU0074,22,2023-11-15,Pending
BO00190,OL84464,ORD28133,SKU0122,1,2023-11-16,Pending
BO00191,OL84503,ORD28142,SKU0295,17,2023-11-16,Pending
BO00192,OL84533,ORD28153,SKU0122,8,2023-11-16,Pending
BO00193,OL84600,ORD28172,SKU0135,9,2023-11-17,Pending
BO00194,OL84643,ORD28186,SKU0074,13,2023-11-17,Pending
BO00195,OL84689,ORD28201,SKU0135,19,2023-11-17,Pending
BO00196,OL84773,ORD28229,SKU0295,12,2023-11-18,Pending
BO00197,OL84818,ORD28240,SKU0421,10,2023-11-18,Pending
BO00198,OL84936,ORD28277,SKU0295,24,2023-11-19,Pending
BO00199,OL85431,ORD28448,SKU0411,19,2023-11-23,Pending
BO00200,OL85524,ORD28482,SKU0021,7,2023-11-24,Pending
BO00201,OL85627,ORD28512,SKU0411,19,2023-11-24,Pending
BO00202,OL85693,ORD28535,SKU0021,18,2023-11-25,Pending
BO00203,OL85715,ORD28542,SKU0461,4,2023-11-25,Pending
BO00204,OL85734,ORD28548,SKU0436,18,2023-11-25,Pending
BO00205,OL85745,ORD28552,SKU0458,8,2023-11-25,Pending
BO00206,OL85826,ORD28575,SKU0196,9,2023-11-26,Pending
BO00207,OL85882,ORD28593,SKU0283,1,2023-11-26,Pending
BO00208,OL85907,ORD28599,SKU0300,10,2023-11-26,Pending
BO00209,OL85932,ORD28609,SKU0306,20,2023-11-26,Pending
BO00210,OL86014,ORD28637,SKU0300,14,2023-11-27,Pending
BO00211,OL86065,ORD28656,SKU0300,5,2023-11-27,Pending
BO00212,OL86504,ORD28799,SKU0105,2,2023-12-01,Pending
BO00213,OL86616,ORD28840,SKU0105,11,2023-12-02,Pending
BO00214,OL86667,ORD28857,SKU0306,10,2023-12-02,Pending
BO00215,OL86854,ORD28923,SKU0458,8,2023-12-04,Pending
BO00216,OL87656,ORD29191,SKU0308,7,2023-12-10,Pending
BO00217,OL87691,ORD29200,SKU0098,8,2023-12-10,Pending
BO00218,OL87707,ORD29204,SKU0234,5,2023-12-10,Pending
BO00219,OL87803,ORD29235,SKU0011,8,2023-12-11,Pending
BO00220,OL87813,ORD29238,SKU0201,7,2023-12-11,Pending
BO00221,OL87849,ORD29250,SKU0449,16,2023-12-11,Pending
BO00222,OL87962,ORD29284,SKU0227,6,2023-12-12,Pending
BO00223,OL87965,ORD29284,SKU0308,5,2023-12-12,Pending
BO00224,OL88071,ORD29321,SKU0449,16,2023-12-13,Pending
BO00225,OL88235,ORD29374,SKU0227,19,2023-12-14,Pending
BO00226,OL88403,ORD29429,SKU0096,3,2023-12-15,Pending
BO00227,OL88996,ORD29623,SKU0292,5,2023-12-20,Pending
BO00228,OL89214,ORD29706,SKU0098,2,2023-12-22,Pending
BO00229,OL89265,ORD29720,SKU0132,4,2023-12-22,Pending
BO00230,OL89535,ORD29811,SKU0132,21,2023-12-24,Pending
BO00231,OL89594,ORD29830,SKU0262,2,2023-12-24,Pending
BO00232,OL89608,ORD29834,SKU0132,8,2023-12-24,Pending
BO00233,OL89667,ORD29854,SKU0262,8,2023-12-25,Pending
BO00234,OL89877,ORD29924,SKU0188,9,2023-12-26,Pending
BO00235,OL118300,ORD39413,SKU0005,3,2024-07-09,Pending
BO00236,OL118553,ORD39500,SKU0005,13,2024-07-10,Pending
BO00237,OL119133,ORD39690,SKU0365,10,2024-07-14,Pending
BO00238,OL119435,ORD39785,SKU0163,17,2024-07-16,Pending
BO00239,OL119696,ORD39872,SKU0365,14,2024-07-18,Pending
BO00240,OL119765,ORD39897,SKU0163,22,2024-07-19,Pending
BO00241,OL120050,ORD39989,SKU0197,41,2024-07-21,Pending
BO00242,OL120541,ORD40150,SKU0264,21,2024-07-24,Pending
BO00243,OL120564,ORD40157,SKU0264,12,2024-07-24,Pending
BO00244,OL120947,ORD40291,SKU0351,4,2024-07-27,Pending
BO00245,OL120957,ORD40293,SKU0351,20,2024-07-27,Pending
BO00246,OL121035,ORD40317,SKU0264,27,2024-07-27,Pending
BO00247,OL121073,ORD40329,SKU0147,1,2024-07-28,Pending
BO00248,OL121148,ORD40352,SKU0351,41,2024-07-28,Pending
BO00249,OL121470,ORD40460,SKU0264,19,2024-07-30,Pending
BO00250,OL121527,ORD40477,SKU0499,6,2024-07-31,Pending
BO00251,OL122897,ORD40926,SKU0088,11,2024-08-09,Pending
BO00252,OL123829,ORD41230,SKU0029,7,2024-08-15,Pending
BO00253,OL123881,ORD41247,SKU0434,4,2024-08-15,Pending
BO00254,OL123953,ORD41272,SKU0434,14,2024-08-16,Pending
BO00255,OL124010,ORD41289,SKU0434,8,2024-08-16,Pending
BO00256,OL124097,ORD41313,SKU0029,12,2024-08-16,Pending
BO00257,OL124115,ORD41319,SKU0221,21,2024-08-17,Pending
BO00258,OL124138,ORD41328,SKU0221,30,2024-08-17,Pending
BO00259,OL124266,ORD41368,SKU0221,15,2024-08-18,Pending
BO00260,OL124431,ORD41424,SKU0434,11,2024-08-19,Pending
BO00261,OL124492,ORD41447,SKU0029,4,2024-08-19,Pending
BO00262,OL124565,ORD41471,SKU0221,11,2024-08-20,Pending
BO00263,OL124862,ORD41572,SKU0434,13,2024-08-22,Pending
BO00264,OL125017,ORD41622,SKU0434,24,2024-08-23,Pending
BO00265,OL125424,ORD41757,SKU0192,8,2024-08-26,Pending
BO00266,OL126358,ORD42051,SKU0002,5,2024-09-01,Pending
BO00267,OL126366,ORD42054,SKU0002,24,2024-09-01,Pending
BO00268,OL127321,ORD42373,SKU0399,1,2024-09-08,Pending
BO00269,OL127395,ORD42399,SKU0399,5,2024-09-09,Pending
BO00270,OL127588,ORD42458,SKU0002,4,2024-09-10,Pending
BO00271,OL127736,ORD42508,SKU0399,12,2024-09-11,Pending
BO00272,OL127975,ORD42587,SKU0002,14,2024-09-13,Pending
BO00273,OL128238,ORD42680,SKU0488,3,2024-09-14,Pending
BO00274,OL130444,ORD43410,SKU0382,8,2024-09-30,Pending
BO00275,OL130578,ORD43454,SKU0379,9,2024-10-01,Pending
BO00276,OL130656,ORD43479,SKU0382,19,2024-10-01,Pending
BO00277,OL131387,ORD43726,SKU0011,7,2024-10-06,Pending
BO00278,OL131597,ORD43799,SKU0215,9,2024-10-08,Pending
BO00279,OL131704,ORD43832,SKU0122,3,2024-10-08,Pending
BO00280,OL131815,ORD43868,SKU0011,14,2024-10-09,Pending
BO00281,OL131879,ORD43891,SKU0087,5,2024-10-09,Pending
BO00282,OL132066,ORD43955,SKU0011,15,2024-10-11,Pending
BO00283,OL132121,ORD43977,SKU0259,25,2024-10-11,Pending
BO00284,OL132141,ORD43984,SKU0276,17,2024-10-11,Pending
BO00285,OL132147,ORD43986,SKU0271,26,2024-10-11,Pending
BO00286,OL132163,ORD43991,SKU0122,20,2024-10-11,Pending
BO00287,OL132166,ORD43993,SKU0247,12,2024-10-11,Pending
BO00288,OL132273,ORD44033,SKU0319,6,2024-10-12,Pending
BO00289,OL132275,ORD44034,SKU0011,47,2024-10-13,Pending
BO00290,OL132277,ORD44034,SKU0225,2,2024-10-13,Pending
BO00291,OL132398,ORD44074,SKU0319,11,2024-10-14,Pending
BO00292,OL132407,ORD44077,SKU0319,12,2024-10-14,Pending
BO00293,OL132488,ORD44106,SKU0051,3,2024-10-14,Pending
BO00294,OL132522,ORD44116,SKU0436,3,2024-10-14,Pending
BO00295,OL132599,ORD44144,SKU0096,15,2024-10-15,Pending
BO00296,OL132692,ORD44170,SKU0262,21,2024-10-16,Pending
BO00297,OL132735,ORD44181,SKU0234,10,2024-10-16,Pending
BO00298,OL132739,ORD44182,SKU0087,11,2024-10-16,Pending
BO00299,OL132747,ORD44184,SKU0096,18,2024-10-16,Pending
BO00300,OL132765,ORD44191,SKU0271,14,2024-10-16,Pending
BO00301,OL132796,ORD44204,SKU0096,8,2024-10-16,Pending
BO00302,OL132799,ORD44205,SKU0433,7,2024-10-16,Pending
BO00303,OL132901,ORD44239,SKU0485,12,2024-10-17,Pending
BO00304,OL132913,ORD44242,SKU0259,15,2024-10-17,Pending
BO00305,OL132916,ORD44243,SKU0436,6,2024-10-17,Pending
BO00306,OL132921,ORD44244,SKU0225,11,2024-10-17,Pending
BO00307,OL132927,ORD44246,SKU0227,4,2024-10-17,Pending
BO00308,OL132961,ORD44254,SKU0138,13,2024-10-18,Pending
BO00309,OL133001,ORD44267,SKU0485,5,2024-10-18,Pending
BO00310,OL133006,ORD44269,SKU0227,12,2024-10-18,Pending
BO00311,OL133080,ORD44299,SKU0107,2,2024-10-18,Pending
BO00312,OL133114,ORD44308,SKU0086,6,2024-10-19,Pending
BO00313,OL133124,ORD44312,SKU0086,7,2024-10-19,Pending
BO00314,OL133133,ORD44314,SKU0234,23,2024-10-19,Pending
BO00315,OL133160,ORD44322,SKU0262,6,2024-10-19,Pending
BO00316,OL133167,ORD44324,SKU0047,8,2024-10-19,Pending
BO00317,OL133185,ORD44329,SKU0111,3,2024-10-19,Pending
BO00318,OL133225,ORD44339,SKU0472,4,2024-10-19,Pending
BO00319,OL133236,ORD44342,SKU0262,12,2024-10-19,Pending
BO00320,OL133247,ORD44344,SKU0062,11,2024-10-19,Pending
BO00321,OL133293,ORD44359,SKU0472,16,2024-10-20,Pending
BO00322,OL133317,ORD44368,SKU0387,8,2024-10-20,Pending
BO00323,OL133322,ORD44369,SKU0277,15,2024-10-20,Pending
BO00324,OL133401,ORD44397,SKU0433,6,2024-10-21,Pending
BO00325,OL133512,ORD44431,SKU0472,6,2024-10-21,Pending
BO00326,OL134020,ORD44586,SKU0054,13,2024-10-24,Pending
BO00327,OL134078,ORD44605,SKU0063,4,2024-10-25,Pending
BO00328,OL134100,ORD44611,SKU0237,9,2024-10-25,Pending
BO00329,OL134139,ORD44624,SKU0456,1,2024-10-25,Pending
BO00330,OL134166,ORD44632,SKU0054,12,2024-10-25,Pending
BO00331,OL134206,ORD44644,SKU0456,18,2024-10-26,Pending
BO00332,OL134232,ORD44653,SKU0335,5,2024-10-26,Pending
BO00333,OL134245,ORD44657,SKU0289,13,2024-10-26,Pending
BO00334,OL134352,ORD44695,SKU0315,17,2024-10-27,Pending
BO00335,OL134390,ORD44707,SKU0278,9,2024-10-27,Pending
BO00336,OL134402,ORD44711,SKU0237,23,2024-10-27,Pending
BO00337,OL134417,ORD44717,SKU0278,35,2024-10-27,Pending
BO00338,OL134418,ORD44717,SKU0063,31,2024-10-27,Pending
BO00339,OL134419,ORD44718,SKU0063,10,2024-10-27,Pending
BO00340,OL134448,ORD44727,SKU0392,9,2024-10-27,Pending
BO00341,OL134449,ORD44728,SKU0063,19,2024-10-27,Pending
BO00342,OL134470,ORD44735,SKU0335,17,2024-10-27,Pending
BO00343,OL134486,ORD44741,SKU0209,5,2024-10-27,Pending
BO00344,OL134591,ORD44776,SKU0315,8,2024-10-28,Pending
BO00345,OL134603,ORD44778,SKU0250,21,2024-10-28,Pending
BO00346,OL134636,ORD44788,SKU0046,4,2024-10-28,Pending
BO00347,OL134681,ORD44804,SKU0498,20,2024-10-28,Pending
BO00348,OL134692,ORD44807,SKU0278,23,2024-10-29,Pending
BO00349,OL134716,ORD44815,SKU0250,22,2024-10-29,Pending
BO00350,OL134729,ORD44822,SKU0498,8,2024-10-29,Pending
BO00351,OL134739,ORD44827,SKU0056,15,2024-10-29,Pending
BO00352,OL134794,ORD44843,SKU0392,19,2024-10-29,Pending
BO00353,OL134849,ORD44865,SKU0054,22,2024-10-30,Pending
BO00354,OL134873,ORD44872,SKU0135,2,2024-10-30,Pending
BO00355,OL134928,ORD44887,SKU0392,10,2024-10-30,Pending
BO00356,OL134944,ORD44891,SKU0200,6,2024-10-30,Pending
BO00357,OL134969,ORD44901,SKU0456,8,2024-10-30,Pending
BO00358,OL135007,ORD44912,SKU0456,15,2024-10-31,Pending
BO00359,OL135033,ORD44921,SKU0054,9,2024-10-31,Pending
BO00360,OL135042,ORD44924,SKU0135,12,2024-10-31,Pending
BO00361,OL135153,ORD44961,SKU0056,24,2024-10-31,Pending
BO00362,OL135170,ORD44966,SKU0053,6,2024-11-01,Pending
BO00363,OL135195,ORD44973,SKU0053,10,2024-11-01,Pending
BO00364,OL135283,ORD45001,SKU0053,7,2024-11-01,Pending
BO00365,OL135313,ORD45012,SKU0456,7,2024-11-02,Pending
BO00366,OL135350,ORD45023,SKU0342,13,2024-11-02,Pending
BO00367,OL135370,ORD45027,SKU0054,27,2024-11-02,Pending
BO00368,OL135442,ORD45054,SKU0007,2,2024-11-03,Pending
BO00369,OL135852,ORD45195,SKU0232,18,2024-11-06,Pending
BO00370,OL136010,ORD45251,SKU0232,13,2024-11-07,Pending
BO00371,OL136033,ORD45261,SKU0278,4,2024-11-07,Pending
BO00372,OL136041,ORD45265,SKU0232,14,2024-11-07,Pending
BO00373,OL136072,ORD45275,SKU0391,14,2024-11-07,Pending
BO00374,OL136168,ORD45307,SKU0461,3,2024-11-08,Pending
BO00375,OL136181,ORD45310,SKU0333,7,2024-11-08,Pending
BO00376,OL136212,ORD45324,SKU0391,10,2024-11-09,Pending
BO00377,OL136256,ORD45340,SKU0333,21,2024-11-09,Pending
BO00378,OL136279,ORD45348,SKU0232,22,2024-11-09,Pending
BO00379,OL136357,ORD45377,SKU0002,5,2024-11-09,Pending
BO00380,OL136426,ORD45403,SKU0291,1,2024-11-10,Pending
BO00381,OL136499,ORD45427,SKU0287,5,2024-11-10,Pending
BO00382,OL136501,ORD45427,SKU0416,1,2024-11-10,Pending
BO00383,OL136535,ORD45439,SKU0391,12,2024-11-11,Pending
BO00384,OL136554,ORD45447,SKU0461,23,2024-11-11,Pending
BO00385,OL136558,ORD45449,SKU0391,9,2024-11-11,Pending
BO00386,OL136569,ORD45453,SKU0328,6,2024-11-11,Pending
BO00387,OL136570,ORD45453,SKU0053,19,2024-11-11,Pending
BO00388,OL136595,ORD45461,SKU0328,13,2024-11-11,Pending
BO00389,OL136636,ORD45477,SKU0278,19,2024-11-11,Pending
BO00390,OL136673,ORD45492,SKU0391,11,2024-11-12,Pending
BO00391,OL136674,ORD45492,SKU0461,15,2024-11-12,Pending
BO00392,OL136770,ORD45520,SKU0261,2,2024-11-12,Pending
BO00393,OL136775,ORD45522,SKU0278,9,2024-11-12,Pending
BO00394,OL136827,ORD45538,SKU0261,10,2024-11-13,Pending
BO00395,OL136947,ORD45574,SKU0261,12,2024-11-14,Pending
BO00396,OL137094,ORD45619,SKU0319,4,2024-11-15,Pending
BO00397,OL137122,ORD45626,SKU0319,10,2024-11-15,Pending
