Order_Line_ID,Order_ID,Store_ID,SKU,Source_Hub_ID,Order_Date,Required_Delivery_Date,Quantity_Ordered,Is_Express,Quantity_Shipped
OL00039,ORD00016,ST032,SKU0391,HUB-BLR,2022-01-01,2022-01-11,13,False,13
OL00040,ORD00016,ST032,SKU0500,HUB-BOM,2022-01-01,2022-01-11,6,False,6
OL00041,ORD00017,ST014,SKU0095,HUB-BLR,2022-01-01,2022-01-06,7,False,7
OL00042,ORD00017,ST014,SKU0116,HUB-BLR,2022-01-01,2022-01-06,8,False,8
OL00043,ORD00017,ST014,SKU0210,HUB-BOM,2022-01-01,2022-01-06,3,False,3
OL00044,ORD00018,ST057,SKU0384,HUB-DEL,2022-01-01,2022-01-04,3,True,3
OL00045,ORD00018,ST057,SKU0127,HUB-DEL,2022-01-01,2022-01-04,5,True,5
OL00046,ORD00018,ST057,SKU0399,HUB-BLR,2022-01-01,2022-01-04,7,True,7
OL00047,ORD00018,ST057,SKU0289,HUB-BLR,2022-01-01,2022-01-04,8,True,8
OL00048,ORD00018,ST057,SKU0230,HUB-BLR,2022-01-01,2022-01-04,5,True,5
OL00049,ORD00019,ST003,SKU0371,HUB-BLR,2022-01-01,2022-01-10,14,False,14
OL00050,ORD00019,ST003,SKU0015,HUB-BLR,2022-01-01,2022-01-10,12,False,12
OL00051,ORD00019,ST003,SKU0032,HUB-BLR,2022-01-01,2022-01-10,8,False,8
OL00052,ORD00019,ST003,SKU0234,HUB-DEL,2022-01-01,2022-01-10,3,False,3
OL00053,ORD00020,ST015,SKU0121,HUB-BOM,2022-01-01,2022-01-06,2,False,2
OL00054,ORD00021,ST054,SKU0451,HUB-BOM,2022-01-01,2022-01-06,2,False,2
OL00055,ORD00021,ST054,SKU0042,HUB-DEL,2022-01-01,2022-01-06,2,False,2
OL00056,ORD00021,ST054,SKU0442,HUB-BOM,2022-01-01,2022-01-06,3,False,3
OL00057,ORD00021,ST054,SKU0112,HUB-BOM,2022-01-01,2022-01-06,4,False,4
OL00058,ORD00022,ST040,SKU0192,HUB-BLR,2022-01-01,2022-01-08,7,False,7
OL00059,ORD00022,ST040,SKU0020,HUB-BLR,2022-01-01,2022-01-08,3,False,3
OL00060,ORD00023,ST059,SKU0470,HUB-BOM,2022-01-01,2022-01-10,4,False,4
OL00061,ORD00023,ST059,SKU0098,HUB-DEL,2022-01-01,2022-01-10,5,False,5
OL00062,ORD00023,ST059,SKU0220,HUB-DEL,2022-01-01,2022-01-10,2,False,2
OL00063,ORD00023,ST059,SKU0056,HUB-DEL,2022-01-01,2022-01-10,5,False,5
OL00064,ORD00023,ST059,SKU0332,HUB-BOM,2022-01-01,2022-01-10,4,False,4
OL00065,ORD00024,ST036,SKU0255,HUB-DEL,2022-01-01,2022-01-06,5,False,5
OL00066,ORD00024,ST036,SKU0170,HUB-BOM,2022-01-01,2022-01-06,2,False,2
OL00067,ORD00025,ST001,SKU0262,HUB-DEL,2022-01-01,2022-01-05,5,False,5
OL00068,ORD00025,ST001,SKU0065,HUB-BLR,2022-01-01,2022-01-05,11,False,11
OL00069,ORD00025,ST001,SKU0134,HUB-BLR,2022-01-01,2022-01-05,8,False,8
OL00070,ORD00025,ST001,SKU0482,HUB-BLR,2022-01-01,2022-01-05,12,False,12
OL00071,ORD00025,ST001,SKU0171,HUB-BOM,2022-01-01,2022-01-05,6,False,6
OL00072,ORD00026,ST039,SKU0229,HUB-DEL,2022-01-01,2022-01-10,3,False,3
OL00073,ORD00026,ST039,SKU0353,HUB-BLR,2022-01-01,2022-01-10,7,False,7
OL00074,ORD00026,ST039,SKU0384,HUB-DEL,2022-01-01,2022-01-10,4,False,4
OL00075,ORD00027,ST015,SKU0064,HUB-BOM,2022-01-01,2022-01-11,3,False,3
OL00076,ORD00028,ST038,SKU0037,HUB-DEL,2022-01-01,2022-01-09,3,False,3
OL00077,ORD00029,ST049,SKU0347,HUB-BOM,2022-01-01,2022-01-05,5,False,5
OL00078,ORD00029,ST049,SKU0015,HUB-BLR,2022-01-01,2022-01-05,16,False,16
OL00079,ORD00029,ST049,SKU0203,HUB-BOM,2022-01-01,2022-01-05,7,False,7
OL00080,ORD00029,ST049,SKU0457,HUB-DEL,2022-01-01,2022-01-05,8,False,8
OL00081,ORD00030,ST039,SKU0264,HUB-BLR,2022-01-01,2022-01-07,8,False,8
OL00082,ORD00031,ST051,SKU0352,HUB-BOM,2022-01-01,2022-01-11,8,False,8
OL00083,ORD00031,ST051,SKU0298,HUB-BLR,2022-01-01,2022-01-11,18,False,18
OL00084,ORD00031,ST051,SKU0456,HUB-DEL,2022-01-01,2022-01-11,4,False,4
OL00085,ORD00031,ST051,SKU0097,HUB-DEL,2022-01-01,2022-01-11,9,False,9
OL00086,ORD00032,ST032,SKU0477,HUB-BOM,2022-01-01,2022-01-04,3,True,3
OL00087,ORD00032,ST032,SKU0376,HUB-DEL,2022-01-01,2022-01-04,5,True,5
OL00088,ORD00032,ST032,SKU0433,HUB-DEL,2022-01-01,2022-01-04,4,True,4
OL00089,ORD00032,ST032,SKU0111,HUB-DEL,2022-01-01,2022-01-04,3,True,3
OL00090,ORD00032,ST032,SKU0392,HUB-DEL,2022-01-01,2022-01-04,4,True,4
OL00091,ORD00033,ST031,SKU0243,HUB-DEL,2022-01-01,2022-01-10,11,False,11
OL00092,ORD00033,ST031,SKU0406,HUB-DEL,2022-01-01,2022-01-10,9,False,9
OL00093,ORD00033,ST031,SKU0291,HUB-DEL,2022-01-01,2022-01-10,7,False,7
OL00094,ORD00033,ST031,SKU0442,HUB-BOM,2022-01-01,2022-01-10,9,False,9
OL00095,ORD00034,ST044,SKU0411,HUB-DEL,2022-01-01,2022-01-09,3,False,3
OL00096,ORD00034,ST044,SKU0183,HUB-BOM,2022-01-01,2022-01-09,3,False,3
OL00097,ORD00034,ST044,SKU0348,HUB-BLR,2022-01-01,2022-01-09,3,False,3
OL00098,ORD00034,ST044,SKU0299,HUB-BLR,2022-01-01,2022-01-09,5,False,5
OL00099,ORD00035,ST018,SKU0334,HUB-BOM,2022-01-01,2022-01-07,2,False,2
OL00100,ORD00035,ST018,SKU0477,HUB-BOM,2022-01-01,2022-01-07,2,False,2
OL00101,ORD00035,ST018,SKU0277,HUB-BLR,2022-01-01,2022-01-07,6,False,6
OL00102,ORD00035,ST018,SKU0187,HUB-BOM,2022-01-01,2022-01-07,1,False,1
OL00103,ORD00035,ST018,SKU0164,HUB-BOM,2022-01-01,2022-01-07,2,False,2
OL00104,ORD00036,ST035,SKU0074,HUB-DEL,2022-01-01,2022-01-04,3,True,3
OL00105,ORD00036,ST035,SKU0137,HUB-BLR,2022-01-01,2022-01-04,6,True,6
OL00106,ORD00036,ST035,SKU0148,HUB-BOM,2022-01-01,2022-01-04,3,True,3
OL00107,ORD00036,ST035,SKU0124,HUB-BLR,2022-01-01,2022-01-04,7,True,7
OL00108,ORD00036,ST035,SKU0228,HUB-BLR,2022-01-01,2022-01-04,7,True,7
OL00109,ORD00037,ST055,SKU0494,HUB-BLR,2022-01-02,2022-01-07,11,False,11
OL00110,ORD00037,ST055,SKU0084,HUB-BOM,2022-01-02,2022-01-07,2,False,2
OL00111,ORD00038,ST002,SKU0008,HUB-BOM,2022-01-02,2022-01-11,7,False,7
OL00112,ORD00038,ST002,SKU0228,HUB-BLR,2022-01-02,2022-01-11,5,False,5
OL00113,ORD00038,ST002,SKU0029,HUB-BLR,2022-01-02,2022-01-11,10,False,10
OL00114,ORD00038,ST002,SKU0270,HUB-BOM,2022-01-02,2022-01-11,7,False,7
OL00115,ORD00038,ST002,SKU0072,HUB-DEL,2022-01-02,2022-01-11,3,False,3
OL00116,ORD00039,ST026,SKU0401,HUB-BLR,2022-01-02,2022-01-08,10,False,10
OL00117,ORD00039,ST026,SKU0182,HUB-DEL,2022-01-02,2022-01-08,5,False,5
OL00118,ORD00039,ST026,SKU0439,HUB-BLR,2022-01-02,2022-01-08,14,False,14
OL00119,ORD00039,ST026,SKU0151,HUB-DEL,2022-01-02,2022-01-08,8,False,8
OL00120,ORD00039,ST026,SKU0170,HUB-BOM,2022-01-02,2022-01-08,5,False,5
OL00121,ORD00040,ST005,SKU0447,HUB-DEL,2022-01-02,2022-01-07,6,False,6
OL00122,ORD00040,ST005,SKU0377,HUB-BLR,2022-01-02,2022-01-07,9,False,9
OL00123,ORD00040,ST005,SKU0258,HUB-DEL,2022-01-02,2022-01-07,10,False,10
OL00124,ORD00040,ST005,SKU0094,HUB-DEL,2022-01-02,2022-01-07,5,False,5
OL00125,ORD00040,ST005,SKU0372,HUB-BOM,2022-01-02,2022-01-07,8,False,8
OL00126,ORD00041,ST043,SKU0291,HUB-DEL,2022-01-02,2022-01-10,3,False,3
OL00127,ORD00041,ST043,SKU0060,HUB-BOM,2022-01-02,2022-01-10,4,False,4
OL00128,ORD00042,ST001,SKU0262,HUB-DEL,2022-01-02,2022-01-10,5,False,5
OL00129,ORD00042,ST001,SKU0050,HUB-BOM,2022-01-02,2022-01-10,8,False,8
OL00130,ORD00042,ST001,SKU0291,HUB-DEL,2022-01-02,2022-01-10,6,False,6
OL00131,ORD00043,ST024,SKU0365,HUB-BLR,2022-01-02,2022-01-06,21,False,21
OL00132,ORD00043,ST024,SKU0077,HUB-BOM,2022-01-02,2022-01-06,5,False,5
OL00133,ORD00043,ST024,SKU0045,HUB-BLR,2022-01-02,2022-01-06,17,False,17
OL00134,ORD00043,ST024,SKU0149,HUB-BOM,2022-01-02,2022-01-06,9,False,9
OL00135,ORD00043,ST024,SKU0043,HUB-BOM,2022-01-02,2022-01-06,5,False,5
OL00136,ORD00044,ST036,SKU0243,HUB-DEL,2022-01-02,2022-01-10,4,False,4
OL00137,ORD00044,ST036,SKU0048,HUB-BOM,2022-01-02,2022-01-10,5,False,5
OL00138,ORD00045,ST035,SKU0422,HUB-BOM,2022-01-02,2022-01-06,5,False,5
OL00139,ORD00045,ST035,SKU0213,HUB-BOM,2022-01-02,2022-01-06,2,False,2
OL00140,ORD00046,ST054,SKU0326,HUB-BLR,2022-01-02,2022-01-05,7,True,7
OL00141,ORD00047,ST015,SKU0394,HUB-BOM,2022-01-02,2022-01-07,5,False,5
OL00142,ORD00047,ST015,SKU0078,HUB-BOM,2022-01-02,2022-01-07,2,False,2
OL00143,ORD00048,ST012,SKU0224,HUB-DEL,2022-01-02,2022-01-11,8,False,8
OL00144,ORD00048,ST012,SKU0106,HUB-BLR,2022-01-02,2022-01-11,16,False,16
OL00145,ORD00048,ST012,SKU0389,HUB-BOM,2022-01-02,2022-01-11,3,False,3
OL00146,ORD00048,ST012,SKU0331,HUB-BOM,2022-01-02,2022-01-11,9,False,9
OL00147,ORD00049,ST018,SKU0010,HUB-BLR,2022-01-02,2022-01-08,2,False,2
OL00148,ORD00049,ST018,SKU0405,HUB-BOM,2022-01-02,2022-01-08,2,False,2
OL00149,ORD00049,ST018,SKU0449,HUB-DEL,2022-01-02,2022-01-08,3,False,3
OL00150,ORD00050,ST038,SKU0046,HUB-DEL,2022-01-02,2022-01-11,5,False,5
OL00151,ORD00051,ST021,SKU0144,HUB-BOM,2022-01-02,2022-01-06,1,False,1
OL00152,ORD00051,ST021,SKU0267,HUB-BOM,2022-01-02,2022-01-06,3,False,3
OL00153,ORD00052,ST029,SKU0201,HUB-DEL,2022-01-02,2022-01-10,7,False,7
OL00154,ORD00052,ST029,SKU0030,HUB-DEL,2022-01-02,2022-01-10,4,False,4
OL00155,ORD00052,ST029,SKU0393,HUB-DEL,2022-01-02,2022-01-10,7,False,7
OL00156,ORD00052,ST029,SKU0101,HUB-BOM,2022-01-02,2022-01-10,5,False,5
OL00157,ORD00052,ST029,SKU0119,HUB-DEL,2022-01-02,2022-01-10,6,False,6
OL00158,ORD00053,ST054,SKU0436,HUB-DEL,2022-01-02,2022-01-07,3,False,3
OL00159,ORD00053,ST054,SKU0050,HUB-BOM,2022-01-02,2022-01-07,2,False,2
OL00160,ORD00054,ST058,SKU0069,HUB-DEL,2022-01-02,2022-01-11,4,False,4
OL00161,ORD00055,ST053,SKU0385,HUB-BOM,2022-01-02,2022-01-05,3,True,3
OL00162,ORD00055,ST053,SKU0493,HUB-DEL,2022-01-02,2022-01-05,11,True,11
OL00163,ORD00055,ST053,SKU0367,HUB-BOM,2022-01-02,2022-01-05,3,True,3
OL00164,ORD00055,ST053,SKU0302,HUB-DEL,2022-01-02,2022-01-05,7,True,7
OL00165,ORD00055,ST053,SKU0281,HUB-BOM,2022-01-02,2022-01-05,4,True,4
OL00166,ORD00056,ST013,SKU0145,HUB-BOM,2022-01-02,2022-01-07,3,False,3
OL00167,ORD00056,ST013,SKU0064,HUB-BOM,2022-01-02,2022-01-07,1,False,1
OL00168,ORD00056,ST013,SKU0160,HUB-BLR,2022-01-02,2022-01-07,4,False,4
OL00169,ORD00056,ST013,SKU0226,HUB-BLR,2022-01-02,2022-01-07,6,False,6
OL00170,ORD00057,ST052,SKU0140,HUB-BOM,2022-01-02,2022-01-11,3,False,3
OL00171,ORD00057,ST052,SKU0160,HUB-BLR,2022-01-02,2022-01-11,7,False,7
OL00172,ORD00058,ST014,SKU0212,HUB-BOM,2022-01-02,2022-01-12,3,False,3
OL00173,ORD00059,ST058,SKU0301,HUB-BOM,2022-01-02,2022-01-08,3,False,3
OL00174,ORD00059,ST058,SKU0453,HUB-DEL,2022-01-02,2022-01-08,3,False,3
OL00175,ORD00059,ST058,SKU0392,HUB-DEL,2022-01-02,2022-01-08,4,False,4
OL00176,ORD00060,ST040,SKU0210,HUB-BOM,2022-01-02,2022-01-12,4,False,4
OL00177,ORD00060,ST040,SKU0021,HUB-DEL,2022-01-02,2022-01-12,2,False,2
OL00178,ORD00061,ST059,SKU0180,HUB-BOM,2022-01-02,2022-01-12,3,False,3
OL00179,ORD00062,ST018,SKU0289,HUB-BLR,2022-01-02,2022-01-06,4,False,4
OL00180,ORD00062,ST018,SKU0472,HUB-DEL,2022-01-02,2022-01-06,4,False,4
OL00181,ORD00062,ST018,SKU0060,HUB-BOM,2022-01-02,2022-01-06,3,False,3
OL00182,ORD00062,ST018,SKU0169,HUB-BLR,2022-01-02,2022-01-06,2,False,2
OL00183,ORD00062,ST018,SKU0286,HUB-BOM,2022-01-02,2022-01-06,2,False,2
OL00184,ORD00063,ST031,SKU0433,HUB-DEL,2022-01-02,2022-01-10,11,False,11
OL00185,ORD00063,ST031,SKU0470,HUB-BOM,2022-01-02,2022-01-10,4,False,4
OL00186,ORD00063,ST031,SKU0353,HUB-BLR,2022-01-02,2022-01-10,6,False,6
OL00187,ORD00064,ST041,SKU0481,HUB-DEL,2022-01-02,2022-01-07,4,False,4
OL00188,ORD00064,ST041,SKU0164,HUB-BOM,2022-01-02,2022-01-07,5,False,5
OL00189,ORD00065,ST003,SKU0204,HUB-BOM,2022-01-02,2022-01-06,7,False,7
OL00190,ORD00065,ST003,SKU0051,HUB-DEL,2022-01-02,2022-01-06,4,False,4
OL00191,ORD00065,ST003,SKU0092,HUB-DEL,2022-01-02,2022-01-06,7,False,7
OL00192,ORD00066,ST007,SKU0153,HUB-BOM,2022-01-03,2022-01-12,3,False,3
OL00193,ORD00066,ST007,SKU0378,HUB-DEL,2022-01-03,2022-01-12,5,False,5
OL00194,ORD00066,ST007,SKU0448,HUB-BLR,2022-01-03,2022-01-12,9,False,9
OL00195,ORD00066,ST007,SKU0162,HUB-BOM,2022-01-03,2022-01-12,6,False,6
OL00196,ORD00067,ST059,SKU0317,HUB-BLR,2022-01-03,2022-01-13,2,False,2
OL00197,ORD00068,ST021,SKU0324,HUB-BOM,2022-01-03,2022-01-06,1,True,1
OL00198,ORD00068,ST021,SKU0367,HUB-BOM,2022-01-03,2022-01-06,2,True,2
OL00199,ORD00068,ST021,SKU0401,HUB-BLR,2022-01-03,2022-01-06,5,True,5
OL00200,ORD00068,ST021,SKU0271,HUB-DEL,2022-01-03,2022-01-06,3,True,3
OL00201,ORD00069,ST003,SKU0190,HUB-DEL,2022-01-03,2022-01-11,2,False,2
OL00202,ORD00069,ST003,SKU0362,HUB-BLR,2022-01-03,2022-01-11,9,False,9
OL00203,ORD00069,ST003,SKU0063,HUB-BLR,2022-01-03,2022-01-11,11,False,11
OL00204,ORD00070,ST058,SKU0435,HUB-BLR,2022-01-03,2022-01-13,2,False,2
OL00205,ORD00070,ST058,SKU0219,HUB-DEL,2022-01-03,2022-01-13,3,False,3
OL00206,ORD00070,ST058,SKU0061,HUB-BOM,2022-01-03,2022-01-13,2,False,2
OL00207,ORD00071,ST014,SKU0205,HUB-BLR,2022-01-03,2022-01-11,3,False,3
OL00208,ORD00071,ST014,SKU0224,HUB-DEL,2022-01-03,2022-01-11,2,False,2
OL00209,ORD00071,ST014,SKU0379,HUB-BLR,2022-01-03,2022-01-11,6,False,6
OL00210,ORD00072,ST039,SKU0216,HUB-BLR,2022-01-03,2022-01-09,4,False,4
OL00211,ORD00072,ST039,SKU0491,HUB-DEL,2022-01-03,2022-01-09,3,False,3
OL00212,ORD00072,ST039,SKU0242,HUB-BLR,2022-01-03,2022-01-09,5,False,5
OL00213,ORD00072,ST039,SKU0433,HUB-DEL,2022-01-03,2022-01-09,2,False,2
OL00214,ORD00072,ST039,SKU0363,HUB-BLR,2022-01-03,2022-01-09,3,False,3
OL00215,ORD00073,ST054,SKU0140,HUB-BOM,2022-01-03,2022-01-07,3,False,3
OL00216,ORD00073,ST054,SKU0175,HUB-BOM,2022-01-03,2022-01-07,2,False,2
OL00217,ORD00073,ST054,SKU0156,HUB-BLR,2022-01-03,2022-01-07,2,False,2
OL00218,ORD00073,ST054,SKU0189,HUB-BOM,2022-01-03,2022-01-07,1,False,1
OL00219,ORD00073,ST054,SKU0315,HUB-DEL,2022-01-03,2022-01-07,3,False,3
OL00220,ORD00074,ST035,SKU0324,HUB-BOM,2022-01-03,2022-01-08,2,False,2
OL00221,ORD00074,ST035,SKU0422,HUB-BOM,2022-01-03,2022-01-08,2,False,2
OL00222,ORD00074,ST035,SKU0025,HUB-DEL,2022-01-03,2022-01-08,4,False,4
OL00223,ORD00074,ST035,SKU0419,HUB-BOM,2022-01-03,2022-01-08,3,False,3
OL00224,ORD00075,ST055,SKU0299,HUB-BLR,2022-01-03,2022-01-12,5,False,5
OL00225,ORD00075,ST055,SKU0097,HUB-DEL,2022-01-03,2022-01-12,4,False,4
OL00226,ORD00075,ST055,SKU0429,HUB-BLR,2022-01-03,2022-01-12,8,False,8
OL00227,ORD00075,ST055,SKU0136,HUB-DEL,2022-01-03,2022-01-12,2,False,2
OL00228,ORD00076,ST021,SKU0132,HUB-DEL,2022-01-03,2022-01-10,3,False,3
OL00229,ORD00076,ST021,SKU0066,HUB-BLR,2022-01-03,2022-01-10,6,False,6
OL00230,ORD00076,ST021,SKU0021,HUB-DEL,2022-01-03,2022-01-10,2,False,2
OL00231,ORD00076,ST021,SKU0361,HUB-BLR,2022-01-03,2022-01-10,4,False,4
OL00232,ORD00076,ST021,SKU0318,HUB-BLR,2022-01-03,2022-01-10,3,False,3
OL00233,ORD00077,ST055,SKU0048,HUB-BOM,2022-01-03,2022-01-11,2,False,2
OL00234,ORD00077,ST055,SKU0207,HUB-BOM,2022-01-03,2022-01-11,4,False,4
OL00235,ORD00078,ST057,SKU0074,HUB-DEL,2022-01-03,2022-01-10,3,False,3
OL00236,ORD00078,ST057,SKU0460,HUB-BLR,2022-01-03,2022-01-10,7,False,7
OL00237,ORD00078,ST057,SKU0225,HUB-DEL,2022-01-03,2022-01-10,3,False,3
OL00238,ORD00078,ST057,SKU0331,HUB-BOM,2022-01-03,2022-01-10,1,False,1
OL00239,ORD00079,ST036,SKU0013,HUB-BOM,2022-01-03,2022-01-10,2,False,2
OL00240,ORD00079,ST036,SKU0477,HUB-BOM,2022-01-03,2022-01-10,1,False,1
OL00241,ORD00080,ST026,SKU0030,HUB-DEL,2022-01-03,2022-01-09,5,False,5
OL00242,ORD00080,ST026,SKU0471,HUB-BOM,2022-01-03,2022-01-09,5,False,5
OL00243,ORD00080,ST026,SKU0467,HUB-BOM,2022-01-03,2022-01-09,4,False,4
OL00244,ORD00081,ST026,SKU0161,HUB-BLR,2022-01-03,2022-01-12,6,False,6
OL00245,ORD00081,ST026,SKU0429,HUB-BLR,2022-01-03,2022-01-12,7,False,7
OL00246,ORD00081,ST026,SKU0184,HUB-DEL,2022-01-03,2022-01-12,2,False,2
OL00247,ORD00081,ST026,SKU0416,HUB-DEL,2022-01-03,2022-01-12,5,False,5
OL00248,ORD00081,ST026,SKU0199,HUB-BLR,2022-01-03,2022-01-12,8,False,8
OL00249,ORD00082,ST002,SKU0410,HUB-DEL,2022-01-03,2022-01-06,4,True,4
OL00250,ORD00083,ST005,SKU0304,HUB-BOM,2022-01-03,2022-01-09,6,False,6
OL00251,ORD00083,ST005,SKU0123,HUB-BOM,2022-01-03,2022-01-09,5,False,5
OL00252,ORD00083,ST005,SKU0285,HUB-BLR,2022-01-03,2022-01-09,7,False,7
OL00253,ORD00083,ST005,SKU0171,HUB-BOM,2022-01-03,2022-01-09,4,False,4
OL00254,ORD00084,ST025,SKU0412,HUB-BLR,2022-01-03,2022-01-08,8,False,8
OL00255,ORD00085,ST058,SKU0085,HUB-BLR,2022-01-03,2022-01-12,2,False,2
OL00256,ORD00086,ST048,SKU0430,HUB-BOM,2022-01-03,2022-01-10,3,False,3
OL00257,ORD00086,ST048,SKU0317,HUB-BLR,2022-01-03,2022-01-10,7,False,7
OL00258,ORD00086,ST048,SKU0285,HUB-BLR,2022-01-03,2022-01-10,12,False,12
OL00259,ORD00086,ST048,SKU0009,HUB-DEL,2022-01-03,2022-01-10,3,False,3
OL00260,ORD00086,ST048,SKU0008,HUB-BOM,2022-01-03,2022-01-10,6,False,6
OL00261,ORD00087,ST046,SKU0488,HUB-BLR,2022-01-03,2022-01-10,16,False,16
OL00262,ORD00087,ST046,SKU0330,HUB-BLR,2022-01-03,2022-01-10,16,False,16
OL00263,ORD00087,ST046,SKU0153,HUB-BOM,2022-01-03,2022-01-10,7,False,7
OL00264,ORD00087,ST046,SKU0465,HUB-BOM,2022-01-03,2022-01-10,4,False,4
OL00265,ORD00087,ST046,SKU0227,HUB-DEL,2022-01-03,2022-01-10,8,False,8
OL00266,ORD00088,ST007,SKU0489,HUB-BLR,2022-01-03,2022-01-12,4,False,4
OL00267,ORD00088,ST007,SKU0496,HUB-BLR,2022-01-03,2022-01-12,6,False,6
OL00268,ORD00088,ST007,SKU0004,HUB-BOM,2022-01-03,2022-01-12,4,False,4
OL00269,ORD00088,ST007,SKU0147,HUB-BLR,2022-01-03,2022-01-12,7,False,7
OL00270,ORD00088,ST007,SKU0016,HUB-BOM,2022-01-03,2022-01-12,6,False,6
OL00271,ORD00089,ST028,SKU0344,HUB-BOM,2022-01-03,2022-01-07,7,False,7
OL00272,ORD00090,ST059,SKU0194,HUB-BOM,2022-01-03,2022-01-09,1,False,1
OL00273,ORD00090,ST059,SKU0307,HUB-BLR,2022-01-03,2022-01-09,5,False,5
OL00274,ORD00090,ST059,SKU0431,HUB-BOM,2022-01-03,2022-01-09,2,False,2
OL00275,ORD00090,ST059,SKU0188,HUB-DEL,2022-01-03,2022-01-09,4,False,4
OL00276,ORD00090,ST059,SKU0497,HUB-DEL,2022-01-03,2022-01-09,2,False,2
OL00277,ORD00091,ST046,SKU0368,HUB-BOM,2022-01-03,2022-01-13,8,False,8
OL00278,ORD00091,ST046,SKU0387,HUB-DEL,2022-01-03,2022-01-13,9,False,9
OL00279,ORD00091,ST046,SKU0429,HUB-BLR,2022-01-03,2022-01-13,14,False,14
OL00280,ORD00092,ST016,SKU0179,HUB-BLR,2022-01-03,2022-01-08,8,False,8
OL00281,ORD00093,ST044,SKU0093,HUB-BLR,2022-01-03,2022-01-09,4,False,4
OL00282,ORD00094,ST002,SKU0420,HUB-DEL,2022-01-03,2022-01-07,4,False,4
