Order_Line_ID,Store_ID,SKU,Source_Hub_ID,Order_Date,Required_Delivery_Date,Quantity_Ordered
OL00105,ST011,SKU0343,HUB-DEL,2024-11-04,2024-11-09,15
OL00106,ST019,SKU0219,HUB-BLR,2024-12-31,2025-01-07,3
OL00107,ST011,SKU0298,HUB-BLR,2025-01-14,2025-01-20,5
OL00108,ST005,SKU0079,HUB-BOM,2025-05-28,2025-06-06,4
OL00109,ST016,SKU0486,HUB-BLR,2024-07-24,2024-08-03,24
OL00110,ST019,SKU0101,HUB-BOM,2024-03-11,2024-03-14,3
OL00111,ST005,SKU0215,HUB-BOM,2025-05-13,2025-05-23,4
OL00112,ST004,SKU0276,HUB-BLR,2025-02-26,2025-03-06,4
OL00113,ST047,SKU0429,HUB-BOM,2024-10-28,2024-11-02,1
OL00114,ST063,SKU0080,HUB-BLR,2024-05-23,2024-05-27,5
OL00115,ST060,SKU0436,HUB-BLR,2024-10-15,2024-10-21,25
OL00116,ST022,SKU0200,HUB-DEL,2024-10-23,2024-10-30,5
OL00117,ST047,SKU0162,HUB-BOM,2024-10-13,2024-10-21,3
OL00118,ST013,SKU0461,HUB-BLR,2024-05-24,2024-05-28,7
OL00119,ST036,SKU0381,HUB-DEL,2024-12-12,2024-12-16,13
OL00120,ST024,SKU0227,HUB-BLR,2024-02-04,2024-02-10,3
OL00121,ST027,SKU0005,HUB-BLR,2024-07-23,2024-07-31,7
OL00122,ST062,SKU0263,HUB-BLR,2024-12-07,2024-12-15,10
OL00123,ST005,SKU0437,HUB-BLR,2024-12-27,2025-01-02,20
OL00124,ST036,SKU0073,HUB-BOM,2024-07-23,2024-07-27,7
OL00125,ST056,SKU0178,HUB-BLR,2024-06-24,2024-07-02,12
OL00126,ST015,SKU0130,HUB-BLR,2024-07-27,2024-07-30,24
OL00127,ST010,SKU0065,HUB-BOM,2025-03-14,2025-03-18,2
OL00128,ST028,SKU0191,HUB-DEL,2024-02-17,2024-02-26,8
OL00129,ST064,SKU0443,HUB-BOM,2024-04-27,2024-05-01,3
OL00130,ST005,SKU0276,HUB-BLR,2025-06-24,2025-06-30,13
OL00131,ST059,SKU0178,HUB-BLR,2025-06-02,2025-06-07,10
OL00132,ST012,SKU0486,HUB-BLR,2024-03-16,2024-03-25,7
OL00133,ST020,SKU0272,HUB-BLR,2024-03-07,2024-03-14,3
OL00134,ST019,SKU0336,HUB-BLR,2025-06-02,2025-06-12,3
OL00135,ST058,SKU0397,HUB-BLR,2024-09-24,2024-10-03,10
OL00136,ST062,SKU0453,HUB-DEL,2025-02-24,2025-03-05,3
OL00137,ST022,SKU0194,HUB-DEL,2024-11-17,2024-11-21,13
OL00138,ST016,SKU0055,HUB-BOM,2025-04-03,2025-04-10,6
OL00139,ST009,SKU0136,HUB-BOM,2024-06-25,2024-07-02,5
OL00140,ST007,SKU0394,HUB-DEL,2025-03-05,2025-03-15,4
OL00141,ST044,SKU0479,HUB-BLR,2024-02-17,2024-02-21,3
OL00142,ST021,SKU0388,HUB-BLR,2024-10-27,2024-11-04,20
OL00143,ST061,SKU0371,HUB-DEL,2025-02-09,2025-02-19,5
OL00144,ST057,SKU0437,HUB-BLR,2024-11-21,2024-11-27,17
OL00145,ST024,SKU0249,HUB-BOM,2025-02-19,2025-02-23,2
OL00146,ST045,SKU0387,HUB-DEL,2025-06-17,2025-06-26,2
OL00147,ST037,SKU0135,HUB-BLR,2025-01-03,2025-01-12,6
OL00148,ST056,SKU0129,HUB-DEL,2025-03-20,2025-03-27,7
OL00149,ST017,SKU0369,HUB-BLR,2024-07-02,2024-07-11,12
OL00150,ST057,SKU0481,HUB-BLR,2025-01-04,2025-01-08,11
OL00151,ST044,SKU0460,HUB-DEL,2024-08-20,2024-08-26,3
OL00152,ST029,SKU0431,HUB-DEL,2024-03-02,2024-03-10,9
OL00153,ST030,SKU0489,HUB-BLR,2024-11-02,2024-11-07,25
OL00154,ST029,SKU0252,HUB-BLR,2024-01-27,2024-02-03,17
OL00155,ST060,SKU0316,HUB-DEL,2025-01-24,2025-01-31,6
OL00156,ST023,SKU0432,HUB-DEL,2025-03-19,2025-03-26,3
OL00157,ST017,SKU0315,HUB-DEL,2025-02-05,2025-02-15,2
OL00158,ST006,SKU0084,HUB-BLR,2025-03-19,2025-03-22,7
OL00159,ST051,SKU0179,HUB-BOM,2025-06-10,2025-06-15,4
OL00160,ST019,SKU0095,HUB-BLR,2025-04-26,2025-05-06,5
OL00161,ST025,SKU0095,HUB-BLR,2024-04-24,2024-05-02,4
OL00162,ST038,SKU0346,HUB-BLR,2024-04-03,2024-04-09,10
OL00163,ST027,SKU0111,HUB-BOM,2024-12-14,2024-12-24,3
OL00164,ST052,SKU0435,HUB-BOM,2024-05-14,2024-05-23,5
OL00165,ST049,SKU0289,HUB-DEL,2024-05-09,2024-05-15,4
OL00166,ST001,SKU0161,HUB-DEL,2024-06-13,2024-06-21,7
OL00167,ST030,SKU0180,HUB-DEL,2024-05-29,2024-06-05,5
OL00168,ST005,SKU0392,HUB-DEL,2024-04-08,2024-04-16,7
OL00169,ST050,SKU0498,HUB-DEL,2024-02-03,2024-02-08,5
OL00170,ST007,SKU0461,HUB-BLR,2024-11-24,2024-12-03,30
OL00171,ST015,SKU0423,HUB-BLR,2024-03-01,2024-03-05,9
OL00172,ST036,SKU0280,HUB-BOM,2025-06-14,2025-06-20,4
OL00173,ST064,SKU0100,HUB-BOM,2024-12-04,2024-12-09,2
OL00174,ST001,SKU0498,HUB-DEL,2024-06-05,2024-06-13,4
OL00175,ST064,SKU0450,HUB-BLR,2025-05-02,2025-05-07,8
OL00176,ST054,SKU0201,HUB-BOM,2024-04-24,2024-04-28,8
OL00177,ST030,SKU0073,HUB-BOM,2025-04-07,2025-04-13,2
OL00178,ST028,SKU0296,HUB-DEL,2024-07-19,2024-07-28,2
OL00179,ST064,SKU0329,HUB-DEL,2024-09-05,2024-09-11,1
OL00180,ST012,SKU0026,HUB-DEL,2024-02-22,2024-03-01,4
OL00181,ST034,SKU0441,HUB-BLR,2024-03-08,2024-03-14,12
OL00182,ST020,SKU0166,HUB-DEL,2024-10-28,2024-11-02,5
OL00183,ST061,SKU0224,HUB-BOM,2025-03-08,2025-03-11,7
OL00184,ST012,SKU0054,HUB-BOM,2024-11-04,2024-11-09,3
OL00185,ST028,SKU0487,HUB-DEL,2025-03-04,2025-03-11,5
OL00186,ST049,SKU0152,HUB-BLR,2024-09-10,2024-09-19,6
OL00187,ST028,SKU0190,HUB-BLR,2024-08-02,2024-08-06,8
OL00188,ST053,SKU0415,HUB-BLR,2025-02-07,2025-02-12,8
OL00189,ST017,SKU0188,HUB-BOM,2024-12-21,2024-12-25,1
OL00190,ST004,SKU0304,HUB-DEL,2024-01-10,2024-01-15,3
OL00191,ST006,SKU0178,HUB-BLR,2025-06-28,2025-07-08,16
OL00192,ST027,SKU0152,HUB-BLR,2025-04-28,2025-05-03,9
OL00193,ST022,SKU0269,HUB-BLR,2025-04-01,2025-04-11,3
OL00194,ST054,SKU0354,HUB-BOM,2025-02-09,2025-02-13,5
OL00195,ST058,SKU0091,HUB-BOM,2024-11-21,2024-12-01,5
OL00196,ST059,SKU0082,HUB-DEL,2024-03-28,2024-04-02,6
OL00197,ST057,SKU0443,HUB-BOM,2024-11-17,2024-11-20,4
OL00198,ST016,SKU0080,HUB-BLR,2024-04-26,2024-05-05,19
OL00199,ST043,SKU0456,HUB-BLR,2024-04-25,2024-05-03,7
OL00200,ST019,SKU0211,HUB-BLR,2025-03-16,2025-03-22,10
OL00201,ST038,SKU0370,HUB-DEL,2025-04-01,2025-04-07,5
OL00202,ST024,SKU0036,HUB-BLR,2025-03-28,2025-04-03,5
OL00203,ST047,SKU0145,HUB-BLR,2024-03-18,2024-03-28,2
OL00204,ST001,SKU0077,HUB-BLR,2024-03-23,2024-03-29,6
OL00205,ST022,SKU0434,HUB-BOM,2025-03-13,2025-03-20,5
OL00206,ST037,SKU0363,HUB-BLR,2024-03-19,2024-03-26,6
OL00207,ST011,SKU0151,HUB-BLR,2024-08-10,2024-08-16,16
OL00208,ST061,SKU0476,HUB-DEL,2025-02-20,2025-03-01,7
OL00209,ST054,SKU0105,HUB-BOM,2024-09-24,2024-10-02,5
OL00210,ST048,SKU0398,HUB-BLR,2024-11-15,2024-11-18,9
OL00211,ST030,SKU0214,HUB-BOM,2024-07-24,2024-07-27,4
OL00212,ST032,SKU0424,HUB-DEL,2024-10-24,2024-11-02,10
OL00213,ST050,SKU0420,HUB-BLR,2025-05-23,2025-05-29,6
OL00214,ST005,SKU0297,HUB-BOM,2025-01-12,2025-01-15,10
OL00215,ST015,SKU0257,HUB-DEL,2025-03-20,2025-03-26,5
OL00216,ST011,SKU0252,HUB-BLR,2025-04-17,2025-04-27,9
OL00217,ST002,SKU0296,HUB-DEL,2025-01-02,2025-01-05,3
OL00218,ST054,SKU0301,HUB-BOM,2024-01-30,2024-02-04,5
OL00219,ST052,SKU0118,HUB-BOM,2024-05-13,2024-05-19,4
OL00220,ST058,SKU0437,HUB-BLR,2024-08-01,2024-08-09,16
OL00221,ST033,SKU0481,HUB-BLR,2024-11-08,2024-11-14,15
OL00222,ST017,SKU0109,HUB-BOM,2024-04-21,2024-04-25,3
OL00223,ST053,SKU0489,HUB-BLR,2025-04-25,2025-05-01,8
OL00224,ST007,SKU0444,HUB-BLR,2025-04-17,2025-04-23,11
OL00225,ST042,SKU0175,HUB-BOM,2025-06-12,2025-06-17,4
OL00226,ST046,SKU0314,HUB-BOM,2025-06-22,2025-06-29,1
OL00227,ST028,SKU0097,HUB-DEL,2024-11-08,2024-11-17,11
OL00228,ST002,SKU0386,HUB-BLR,2024-01-31,2024-02-04,10
OL00229,ST023,SKU0072,HUB-BOM,2024-11-03,2024-11-13,2
OL00230,ST033,SKU0414,HUB-BLR,2024-09-14,2024-09-24,24
OL00231,ST055,SKU0175,HUB-BOM,2025-06-20,2025-06-27,5
OL00232,ST038,SKU0021,HUB-BOM,2024-07-03,2024-07-07,7
OL00233,ST060,SKU0115,HUB-BLR,2024-02-08,2024-02-16,7
OL00234,ST024,SKU0007,HUB-BLR,2025-01-04,2025-01-08,7
OL00235,ST064,SKU0409,HUB-DEL,2024-07-27,2024-07-31,4
OL00236,ST063,SKU0436,HUB-BLR,2024-10-16,2024-10-20,13
OL00237,ST050,SKU0274,HUB-DEL,2024-01-16,2024-01-25,7
OL00238,ST035,SKU0196,HUB-BOM,2024-09-19,2024-09-24,2
OL00239,ST038,SKU0111,HUB-BOM,2024-08-23,2024-08-31,2
OL00240,ST061,SKU0335,HUB-BOM,2024-08-29,2024-09-04,3
OL00241,ST044,SKU0243,HUB-BOM,2024-08-05,2024-08-08,2
OL00242,ST008,SKU0223,HUB-DEL,2025-01-16,2025-01-22,6
OL00243,ST058,SKU0307,HUB-BLR,2025-06-24,2025-06-28,7
OL00244,ST017,SKU0318,HUB-DEL,2025-06-15,2025-06-18,3
OL00245,ST018,SKU0164,HUB-BOM,2024-03-17,2024-03-25,3
OL00246,ST057,SKU0244,HUB-BLR,2024-06-26,2024-07-04,5
OL00247,ST047,SKU0454,HUB-BLR,2024-04-14,2024-04-21,3
OL00248,ST031,SKU0097,HUB-DEL,2024-08-21,2024-08-27,3
OL00249,ST024,SKU0108,HUB-DEL,2024-12-10,2024-12-19,5
OL00250,ST049,SKU0360,HUB-BOM,2024-09-06,2024-09-12,3
OL00251,ST010,SKU0065,HUB-BOM,2024-07-28,2024-08-03,3
OL00252,ST028,SKU0042,HUB-BLR,2024-11-19,2024-11-28,15
OL00253,ST025,SKU0096,HUB-BLR,2025-04-14,2025-04-17,7
OL00254,ST038,SKU0491,HUB-BOM,2025-05-16,2025-05-23,6
OL00255,ST040,SKU0180,HUB-DEL,2024-03-10,2024-03-15,8
OL00256,ST053,SKU0159,HUB-BOM,2024-05-25,2024-05-30,3
OL00257,ST012,SKU0435,HUB-BOM,2024-12-09,2024-12-19,3
OL00258,ST009,SKU0496,HUB-DEL,2024-06-13,2024-06-16,4
OL00259,ST001,SKU0157,HUB-BLR,2024-11-12,2024-11-21,10
OL00260,ST028,SKU0030,HUB-DEL,2025-01-11,2025-01-17,4
OL00261,ST035,SKU0208,HUB-BOM,2025-02-05,2025-02-15,3
OL00262,ST051,SKU0122,HUB-BLR,2024-10-17,2024-10-26,21
OL00263,ST043,SKU0165,HUB-BOM,2024-02-13,2024-02-18,1
OL00264,ST042,SKU0004,HUB-BLR,2025-02-04,2025-02-08,6
OL00265,ST037,SKU0184,HUB-BOM,2024-05-03,2024-05-08,7
OL00266,ST049,SKU0232,HUB-BLR,2024-02-20,2024-02-27,4
OL00267,ST029,SKU0248,HUB-BLR,2024-08-29,2024-09-05,28
OL00268,ST036,SKU0267,HUB-DEL,2025-01-28,2025-02-04,7
OL00269,ST029,SKU0305,HUB-DEL,2024-11-09,2024-11-15,16
OL00270,ST043,SKU0163,HUB-BLR,2024-04-15,2024-04-18,6
OL00271,ST052,SKU0473,HUB-DEL,2025-02-11,2025-02-15,2
OL00272,ST041,SKU0075,HUB-BLR,2025-03-17,2025-03-21,16
OL00273,ST048,SKU0299,HUB-BOM,2024-01-23,2024-02-01,2
OL00274,ST049,SKU0408,HUB-BLR,2024-05-14,2024-05-22,7
OL00275,ST046,SKU0178,HUB-BLR,2024-05-29,2024-06-01,3
OL00276,ST059,SKU0079,HUB-BOM,2024-06-04,2024-06-07,3
OL00277,ST036,SKU0074,HUB-DEL,2024-02-14,2024-02-20,8
OL00278,ST025,SKU0496,HUB-DEL,2024-07-12,2024-07-19,3
OL00279,ST026,SKU0398,HUB-BLR,2024-01-26,2024-01-30,3
OL00280,ST021,SKU0086,HUB-BLR,2024-12-20,2024-12-23,7
OL00281,ST052,SKU0262,HUB-DEL,2024-02-09,2024-02-12,5
OL00282,ST016,SKU0088,HUB-BLR,2024-10-06,2024-10-12,31
OL00283,ST003,SKU0133,HUB-BLR,2024-06-03,2024-06-09,11
OL00284,ST049,SKU0372,HUB-DEL,2024-07-31,2024-08-09,2
OL00285,ST008,SKU0259,HUB-BOM,2024-10-13,2024-10-20,4
OL00286,ST020,SKU0340,HUB-BLR,2024-12-26,2024-12-31,6
OL00287,ST014,SKU0016,HUB-BLR,2025-01-27,2025-02-04,5
OL00288,ST034,SKU0127,HUB-BLR,2024-11-04,2024-11-11,19
OL00289,ST027,SKU0452,HUB-DEL,2025-05-08,2025-05-14,4
OL00290,ST020,SKU0136,HUB-BOM,2024-04-06,2024-04-09,2
OL00291,ST001,SKU0235,HUB-BOM,2025-06-13,2025-06-20,5
OL00292,ST025,SKU0124,HUB-DEL,2024-01-24,2024-01-28,4
OL00293,ST023,SKU0472,HUB-DEL,2024-07-06,2024-07-11,3
OL00294,ST051,SKU0435,HUB-BOM,2024-10-16,2024-10-21,5
OL00295,ST013,SKU0100,HUB-BOM,2025-01-14,2025-01-23,5
OL00296,ST037,SKU0148,HUB-BOM,2025-04-06,2025-04-14,10
OL00297,ST037,SKU0233,HUB-BOM,2024-12-12,2024-12-17,5
OL00298,ST046,SKU0019,HUB-BLR,2024-05-17,2024-05-22,4
OL00299,ST037,SKU0473,HUB-DEL,2025-01-03,2025-01-10,9
OL00300,ST029,SKU0168,HUB-BOM,2025-03-31,2025-04-04,5
OL00301,ST050,SKU0310,HUB-BLR,2025-03-04,2025-03-10,5
OL00302,ST023,SKU0251,HUB-DEL,2024-09-28,2024-10-04,2
OL00303,ST012,SKU0333,HUB-DEL,2024-09-24,2024-10-01,3
OL00304,ST042,SKU0135,HUB-BLR,2024-05-07,2024-05-14,9
OL00305,ST062,SKU0342,HUB-BOM,2024-07-19,2024-07-23,3
OL00306,ST024,SKU0394,HUB-DEL,2025-06-19,2025-06-29,2
OL00307,ST041,SKU0185,HUB-BLR,2024-03-11,2024-03-17,6
OL00308,ST017,SKU0124,HUB-DEL,2024-08-09,2024-08-17,3
OL00309,ST032,SKU0001,HUB-DEL,2024-01-22,2024-01-25,8
OL00310,ST054,SKU0496,HUB-DEL,2024-10-27,2024-10-31,44
OL00311,ST001,SKU0127,HUB-BLR,2024-02-08,2024-02-13,9
OL00312,ST035,SKU0147,HUB-DEL,2024-05-06,2024-05-11,7
OL00313,ST029,SKU0304,HUB-DEL,2025-03-20,2025-03-26,8
OL00314,ST010,SKU0363,HUB-BLR,2024-06-15,2024-06-18,7
OL00315,ST028,SKU0417,HUB-BOM,2024-06-20,2024-06-27,4
OL00316,ST040,SKU0455,HUB-BLR,2025-05-17,2025-05-25,13
OL00317,ST009,SKU0418,HUB-BOM,2024-06-23,2024-06-27,4
OL00318,ST032,SKU0091,HUB-BOM,2025-06-10,2025-06-15,3
OL00319,ST014,SKU0310,HUB-BLR,2024-06-09,2024-06-19,13
OL00320,ST051,SKU0421,HUB-DEL,2024-07-28,2024-08-07,8
OL00321,ST054,SKU0207,HUB-BLR,2025-05-21,2025-05-25,10
OL00322,ST023,SKU0475,HUB-BLR,2024-11-14,2024-11-19,4
OL00323,ST016,SKU0443,HUB-BOM,2025-02-02,2025-02-09,4
OL00324,ST024,SKU0010,HUB-BLR,2024-01-16,2024-01-25,5
OL00325,ST054,SKU0224,HUB-BOM,2025-06-13,2025-06-17,3
OL00326,ST035,SKU0164,HUB-BOM,2024-01-07,2024-01-17,9
OL00327,ST026,SKU0409,HUB-DEL,2025-01-03,2025-01-11,2
OL00328,ST025,SKU0042,HUB-BLR,2024-04-12,2024-04-18,11
OL00329,ST039,SKU0181,HUB-BOM,2025-05-17,2025-05-20,4
OL00330,ST026,SKU0188,HUB-BOM,2024-05-14,2024-05-24,2
OL00331,ST030,SKU0114,HUB-DEL,2025-04-11,2025-04-15,12
OL00332,ST040,SKU0453,HUB-DEL,2024-01-07,2024-01-17,3
OL00333,ST010,SKU0187,HUB-BLR,2024-06-22,2024-06-28,4
OL00334,ST008,SKU0409,HUB-DEL,2024-07-15,2024-07-25,2
OL00335,ST025,SKU0443,HUB-BOM,2025-04-17,2025-04-24,3
OL00336,ST010,SKU0050,HUB-BOM,2024-08-25,2024-08-30,5
OL00337,ST046,SKU0473,HUB-DEL,2025-05-14,2025-05-24,3
OL00338,ST022,SKU0379,HUB-BLR,2024-08-01,2024-08-06,11
OL00339,ST053,SKU0061,HUB-BOM,2024-11-25,2024-12-03,5
OL00340,ST035,SKU0254,HUB-BLR,2024-10-19,2024-10-22,12
OL00341,ST014,SKU0388,HUB-BLR,2024-09-27,2024-10-02,23
OL00342,ST064,SKU0492,HUB-BLR,2024-12-22,2025-01-01,6
OL00343,ST038,SKU0391,HUB-BLR,2024-07-14,2024-07-23,41
OL00344,ST013,SKU0479,HUB-BLR,2024-06-18,2024-06-24,5
OL00345,ST045,SKU0186,HUB-BOM,2024-12-28,2024-12-31,1
OL00346,ST024,SKU0048,HUB-BLR,2024-08-22,2024-08-30,8
OL00347,ST012,SKU0464,HUB-DEL,2025-06-09,2025-06-13,5
OL00348,ST001,SKU0329,HUB-DEL,2025-02-08,2025-02-14,6
OL00349,ST003,SKU0272,HUB-BLR,2025-04-29,2025-05-06,12
OL00350,ST045,SKU0174,HUB-DEL,2024-11-04,2024-11-11,9
OL00351,ST033,SKU0372,HUB-DEL,2025-03-29,2025-04-07,7
OL00352,ST041,SKU0297,HUB-BOM,2024-03-20,2024-03-26,8
OL00353,ST043,SKU0136,HUB-BOM,2024-01-06,2024-01-16,2
OL00354,ST062,SKU0029,HUB-DEL,2025-02-01,2025-02-05,4
OL00355,ST048,SKU0023,HUB-DEL,2025-05-29,2025-06-04,6
OL00356,ST059,SKU0208,HUB-BOM,2024-10-17,2024-10-26,4
